key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,key_ca,value_ca,key_es,value_es,number
GeoBaseNHN:DatasetName,02LG000,GeoBaseNHN:DatasetName=02LG000,,GeoBaseNHN:Nom del conjunt de dades	=	*,GeoBaseNHN:Nombre del conjunto de datos	=	*,24491,,,,23735,,756,0,No,,GeoBaseNHN:Nom del conjunt de dades,*,GeoBaseNHN:Nombre del conjunto de datos,*,15990
GeoBaseNHN:DatasetName,02LH000,GeoBaseNHN:DatasetName=02LH000,,GeoBaseNHN:Nom del conjunt de dades	=	*,GeoBaseNHN:Nombre del conjunto de datos	=	*,13609,,,,13340,,269,,No,,GeoBaseNHN:Nom del conjunt de dades,*,GeoBaseNHN:Nombre del conjunto de datos,*,15991
GeoBaseNHN:PROVIDER,federal,GeoBaseNHN:PROVIDER=federal,,GeoBaseNHN:PROVIDER	=	federal,GeoBaseNHN:PROVIDER	=	federal,10597,,,,10341,,256,,No,,GeoBaseNHN:PROVIDER,federal,GeoBaseNHN:PROVIDER,federal,15992
GeoBaseNHN:VALDATE,1990,GeoBaseNHN:VALDATE=1990,,mesurar	=	*,GeoBaseNHN:VALDADO	=	*,22777,,,,21592,,1185,0,No,,mesurar,*,GeoBaseNHN:VALDADO,*,15993
HFCS,Major Collector,HFCS=Major Collector,,,,16083,,,,16083,,,,No,,,,,,8478
HFCS,Major␣Collector,,,JMAF	=	Major␣Col·leccionista,JMAF	=	Mayor␣Coleccionista,,,,,,,,,,,JMAF,Major␣Col·leccionista,JMAF,Mayor␣Coleccionista,16316
HFCS,Minor Arterial,HFCS=Minor Arterial,,,,20874,,1,,20873,,,,No,,,,,,6686
HFCS,Minor␣Arterial,,,JMAF	=	Menor␣Arterial,JMAF	=	Menor␣Arterial,,,,,,,,,,,JMAF,Menor␣Arterial,JMAF,Menor␣Arterial,16314
HFCS,Principal Arterial,HFCS=Principal Arterial,,,,20004,,2,,20002,,,,No,,,,,,6942
HFCS,Principal Arterial - Other,HFCS=Principal Arterial - Other,,,,31093,,,,31093,,,,No,,,,,,4806
HFCS,Principal␣Arterial,,,JMAF	=	Principal␣Arterial,JMAF	=	Principal␣Arterial,,,,,,,,,,,JMAF,Principal␣Arterial,JMAF,Principal␣Arterial,16315
HFCS,Principal␣Arterial␣-␣Other,,,JMAF	=	Principal␣Arterial␣-␣Un altre,JMAF	=	Principal␣Arterial␣-␣Otro,,,,,,,,,,,JMAF,Principal␣Arterial␣-␣Un altre,JMAF,Principal␣Arterial␣-␣Otro,16312
HFCS,Urban Collector,HFCS=Urban Collector,,,,44048,,,,44048,,,,No,,,,,,3658
HFCS,Urban Minor Arterial,HFCS=Urban Minor Arterial,,,,74729,,,,74729,0,,,No,,,,,,2458
HFCS,Urban Principal Arterial,HFCS=Urban Principal Arterial,,,,25021,,,,25021,,,,No,,,,,,5730
HFCS,Urban Principal Arterial - Other,HFCS=Urban Principal Arterial - Other,,,,51810,,,,51810,,,,No,,,,,,3220
HFCS,Urban␣Collector,,,JMAF	=	Urban␣Col·leccionista,JMAF	=	Urban␣Coleccionista,,,,,,,,,,,JMAF,Urban␣Col·leccionista,JMAF,Urban␣Coleccionista,16310
HFCS,Urban␣Minor␣Arterial,,,JMAF	=	Urbà␣Menor␣Arterial,JMAF	=	Urbano␣Menor␣Arterial,,,,,,,,,,,JMAF,Urbà␣Menor␣Arterial,JMAF,Urbano␣Menor␣Arterial,16309
HFCS,Urban␣Principal␣Arterial,,,JMAF	=	Urbà␣Principal␣Arterial,JMAF	=	Urbano␣Principal␣Arterial,,,,,,,,,,,JMAF,Urbà␣Principal␣Arterial,JMAF,Urbano␣Principal␣Arterial,16313
HFCS,Urban␣Principal␣Arterial␣-␣Other,,,JMAF	=	Urbà␣Principal␣Arterial␣-␣Un altre,JMAF	=	Urbano␣Principal␣Arterial␣-␣Otro,,,,,,,,,,,JMAF,Urbà␣Principal␣Arterial␣-␣Un altre,JMAF,Urbano␣Principal␣Arterial␣-␣Otro,16311
HU:ed_direction,forward,HU:ed_direction=forward,,,,10812,,,,10812,,,,No,,,,,,12448
IBGE:CD_ADMINIS,estadual,IBGE:CD_ADMINIS=estadual,,IBGE:CD_ADMINIS	=	estadual,IBGE:CD_ADMINIS	=	estadual,32891,,1,,32876,,14,,No,,IBGE:CD_ADMINIS,estadual,IBGE:CD_ADMINIS,estadual,16520
IBGE:CD_ADMINIS,federal,IBGE:CD_ADMINIS=federal,,IBGE:CD_ADMINIS	=	federal,IBGE:CD_ADMINIS	=	federal,19300,,1,,19299,,,,No,,IBGE:CD_ADMINIS,federal,IBGE:CD_ADMINIS,federal,16521
KSJ2:DFC,1,KSJ2:DFC=1,,,,12865,,1,,12304,,560,,No,,,,,,10484
KSJ2:DFC_label,森林地域,KSJ2:DFC_label=森林地域,,,,12868,,1,,12304,,563,,No,,,,,,10481
KSJ2:ODC,数値地図25000空間データ基盤,KSJ2:ODC=数値地図25000空間データ基盤,,,,40391,,,,40391,,,,No,,,,,,3887
KSJ2:ODC,数値地図25000空間データ基盤;管内図（縮尺＜＝50000）,KSJ2:ODC=数値地図25000空間データ基盤;管内図（縮尺＜＝50000）,,,,13324,,,,13324,,,,No,,,,,,10123
KSJ2:ODC,管内図（縮尺＜＝50000）,KSJ2:ODC=管内図（縮尺＜＝50000）,,,,12122,,,,12122,,,,No,,,,,,11094
KSJ2:PRC,1,KSJ2:PRC=01,,,,18094,,1,,17429,,664,,No,,,,,,7622
KSJ2:PRC_label,北海道,KSJ2:PRC_label=北海道,,,,18063,,1,,17396,,666,,No,,,,,,7637
KSJ2:PubFacAdmin,市区町村,KSJ2:PubFacAdmin=市区町村,,,,23545,,23071,0,462,,12,,No,,,,,,6028
KSJ2:PubFacAdmin,民間,KSJ2:PubFacAdmin=民間,,,,19749,,19607,0,141,,1,,No,,,,,,7029
KSJ2:curve_id,c00001,KSJ2:curve_id=c00001,,,,15850,,15840,0,10,,,,No,,,,,,8595
KSJ2:curve_type,exterior,KSJ2:curve_type=exterior,,KSJ2:corba_tipus	=	exterior,KSJ2:curva_tipo	=	exterior,35079,,25080,0,9998,,1,,No,,KSJ2:corba_tipus,exterior,KSJ2:curva_tipo,exterior,16672
KSJ2:filename,A13-06_01.xml,KSJ2:filename=A13-06_01.xml,,KSJ2: nom de fitxer	=	*,KSJ2: nombre de archivo	=	*,11726,,,,11459,,267,,No,,KSJ2: nom de fitxer,*,KSJ2: nombre de archivo,*,16674
KSJ2:filename,N03-090320_02_new.xml,KSJ2:filename=N03-090320_02_new.xml,,KSJ2: nom de fitxer	=	N03-090320_02_nou.xml,KSJ2: nombre de archivo	=	N03-090320_02_nuevo.xml,16269,,16253,0,16,,,,No,,KSJ2: nom de fitxer,N03-090320_02_nou.xml,KSJ2: nombre de archivo,N03-090320_02_nuevo.xml,16673
KSJ2:filename,N03-090320_16_new.xml,,,KSJ2: nom de fitxer	=	N03-090320_16_nou.xml,KSJ2: nombre de archivo	=	N03-090320_16_nuevo.xml,,,,,,,,,,,KSJ2: nom de fitxer,N03-090320_16_nou.xml,KSJ2: nombre de archivo,N03-090320_16_nuevo.xml,16675
LINZ2OSM:dataset,ac_central,LINZ2OSM:dataset=ac_central,,LINZ2OSM: conjunt de dades	=	ac_central,LINZ2OSM: conjunto de datos	=	ac_central,17907,,,,17896,,11,,No,,LINZ2OSM: conjunt de dades,ac_central,LINZ2OSM: conjunto de datos,ac_central,17033
LINZ2OSM:dataset,ac_franklin,LINZ2OSM:dataset=ac_franklin,,LINZ2OSM: conjunt de dades	=	ac_franklin,LINZ2OSM: conjunto de datos	=	ac_franklin,17284,,,,17260,,24,,No,,LINZ2OSM: conjunt de dades,ac_franklin,LINZ2OSM: conjunto de datos,ac_franklin,17034
LINZ2OSM:dataset,ac_hibiscus,LINZ2OSM:dataset=ac_hibiscus,,LINZ2OSM: conjunt de dades	=	ac_hibiscus,LINZ2OSM: conjunto de datos	=	ac_hibiscus,26522,,,,26491,,31,,No,,LINZ2OSM: conjunt de dades,ac_hibiscus,LINZ2OSM: conjunto de datos,ac_hibiscus,17032
LINZ2OSM:dataset,ac_rodney_east,LINZ2OSM:dataset=ac_rodney_east,,LINZ2OSM: conjunt de dades	=	ac_rodney_est,LINZ2OSM: conjunto de datos	=	ac_rodney_este,14413,,,,14394,,19,,No,,LINZ2OSM: conjunt de dades,ac_rodney_est,LINZ2OSM: conjunto de datos,ac_rodney_este,17035
LINZ2OSM:dataset,ac_upper_harbour,LINZ2OSM:dataset=ac_upper_harbour,,LINZ2OSM: conjunt de dades	=	ac_upper_harbour,LINZ2OSM: conjunto de datos	=	ac_upper_harbour,39541,,,,39503,,38,,No,,LINZ2OSM: conjunt de dades,ac_upper_harbour,LINZ2OSM: conjunto de datos,ac_upper_harbour,17029
LINZ2OSM:dataset,ac_waiheke,LINZ2OSM:dataset=ac_waiheke,,LINZ2OSM: conjunt de dades	=	ac_waiheke,LINZ2OSM: conjunto de datos	=	ac_waiheke,10395,,,,10389,,6,,No,,LINZ2OSM: conjunt de dades,ac_waiheke,LINZ2OSM: conjunto de datos,ac_waiheke,17036
LINZ2OSM:dataset,ac_waitakere,LINZ2OSM:dataset=ac_waitakere,,LINZ2OSM: conjunt de dades	=	ac_esperatakere,LINZ2OSM: conjunto de datos	=	ac_esperatakere,31960,,,,31944,,16,,No,,LINZ2OSM: conjunt de dades,ac_esperatakere,LINZ2OSM: conjunto de datos,ac_esperatakere,17031
LINZ2OSM:dataset,kx_wellington_city_council,LINZ2OSM:dataset=kx_wellington_city_council,,LINZ2OSM: conjunt de dades	=	kx_wellington_city_consejo,LINZ2OSM: conjunto de datos	=	kx_wellington_city_consejo,44105,,,,44067,,38,,No,,LINZ2OSM: conjunt de dades,kx_wellington_city_consejo,LINZ2OSM: conjunto de datos,kx_wellington_city_consejo,17030
LINZ2OSM:layer,ac_buildings,LINZ2OSM:layer=ac_buildings,,LINZ2OSM: capa	=	ac_edificis,LINZ2OSM:capa	=	ac_edificios,174780,,,,174620,0,160,,No,,LINZ2OSM: capa,ac_edificis,LINZ2OSM:capa,ac_edificios,17037
LINZ2OSM:layer,wcc_buildings,LINZ2OSM:layer=wcc_buildings,,LINZ2OSM: capa	=	wcc_edificis,LINZ2OSM:capa	=	wcc_edificios,44105,,,,44067,,38,,No,,LINZ2OSM: capa,wcc_edificis,LINZ2OSM:capa,wcc_edificios,17038
LINZ2OSM:source_version,2015-02-02,LINZ2OSM:source_version=2015-02-02,,LINZ:versió_font	=	*,LINZ2OSM:versión_fuente	=	*,44104,,,,44066,,38,,No,,LINZ:versió_font,*,LINZ2OSM:versión_fuente,*,17040
LINZ2OSM:source_version,2015-04-13,LINZ2OSM:source_version=2015-04-13,,LINZ2OSM:versió_font	=	*,LINZ2OSM:versión_fuente	=	*,174781,,,,174621,0,160,,No,,LINZ2OSM:versió_font,*,LINZ2OSM:versión_fuente,*,17039
LINZ:dataset,mainland,LINZ:dataset=mainland,,LINZ:conjunt de dades	=	continent,LINZ:conjunto de datos	=	continente,566733,0,141630,0,414882,0,10221,0,No,,LINZ:conjunt de dades,continent,LINZ:conjunto de datos,continente,17015
LINZ:layer,cliff_edge,LINZ:layer=cliff_edge,,LINZ: capa	=	vora del penya-segat,LINZ:capa	=	borde del acantilado,53861,,,,53861,,,,No,,LINZ: capa,vora del penya-segat,LINZ:capa,borde del acantilado,17019
LINZ:layer,drain_cl,LINZ:layer=drain_cl,,LINZ: capa	=	drenatge_cl,LINZ:capa	=	drenaje_cl,23226,,,,23226,,,,No,,LINZ: capa,drenatge_cl,LINZ:capa,drenaje_cl,17023
LINZ:layer,exotic_poly,LINZ:layer=exotic_poly,,LINZ: capa	=	exotic_poly,LINZ:capa	=	exotic_poly,33166,,,,31699,,1467,0,No,,LINZ: capa,exotic_poly,LINZ:capa,exotic_poly,17020
LINZ:layer,lake_poly,LINZ:layer=lake_poly,,LINZ: capa	=	llac_poly,LINZ:capa	=	lago_poly,11836,,,,11813,,23,,No,,LINZ: capa,llac_poly,LINZ:capa,lago_poly,17025
LINZ:layer,native_poly,LINZ:layer=native_poly,,LINZ: capa	=	natiu_poli,LINZ:capa	=	nativo_poli,99664,,,,97111,0,2553,0,No,,LINZ: capa,natiu_poli,LINZ:capa,nativo_poli,17017
LINZ:layer,river_cl,LINZ:layer=river_cl,,LINZ: capa	=	riu_cl,LINZ:capa	=	río_cl,22822,,,,22822,,,,No,,LINZ: capa,riu_cl,LINZ:capa,río_cl,17022
LINZ:layer,scattered_scrub_poly,LINZ:layer=scattered_scrub_poly,,LINZ: capa	=	dispersos_scrub_poly,LINZ:capa	=	dispersos_scrub_poly,29126,,,,28760,,366,,No,,LINZ: capa,dispersos_scrub_poly,LINZ:capa,dispersos_scrub_poly,17021
LINZ:layer,scrub_poly,LINZ:layer=scrub_poly,,LINZ: capa	=	Scrub_poly,LINZ:capa	=	Scrub_poly,89215,,,,85050,0,4165,0,No,,LINZ: capa,Scrub_poly,LINZ:capa,Scrub_poly,17018
LINZ:layer,swamp_poly,,,LINZ: capa	=	pantà_poly,LINZ:capa	=	pantano_poly,,,,,,,,,,,LINZ: capa,pantà_poly,LINZ:capa,pantano_poly,17026
LINZ:layer,track_cl,LINZ:layer=track_cl,,LINZ: capa	=	pista_cl,LINZ:capa	=	pista_cl,19777,,,,19777,,,,No,,LINZ: capa,pista_cl,LINZ:capa,pista_cl,17024
LINZ:layer,tree_pnt,LINZ:layer=tree_pnt,,LINZ: capa	=	arbre_pnt,LINZ:capa	=	árbol_pnt,140699,,140697,0,2,,,,No,,LINZ: capa,arbre_pnt,LINZ:capa,árbol_pnt,17016
LINZ:reviewed,no,LINZ:reviewed=no,,,,21872,,,,21872,,,,No,,,,,,6424
LINZ:source_version,2012-06-06,LINZ:source_version=2012-06-06,,població: data	=	*,LINZ:versión_fuente	=	*,572134,0,141762,0,420061,0,10311,0,No,,població: data,*,LINZ:versión_fuente,*,17027
LINZ:source_version,V16,LINZ:source_version=V16,,LINZ:versió_font	=	V16,LINZ:versión_fuente	=	V16,60291,,47494,0,12536,,261,,No,,LINZ:versió_font,V16,LINZ:versión_fuente,V16,17028
LandPro08:reviewed,no,LandPro08:reviewed=no,,LandPro08: revisat	=	no,LandPro08:revisado	=	no,19498,,,,19109,,389,,Yes,,LandPro08: revisat,no,LandPro08:revisado,no,16754
MCC,268,MCC=268,,,,10669,,10669,,,,,,No,,,,,,12612
NHD:Elevation,0.00000000000,NHD:Elevation=0.00000000000,,,,12546,,,,12406,,140,,No,,,,,,10722
NHD:FCode,33600,NHD:FCode=33600,,,,96991,,,,96952,0,39,,No,,,,,,2010
NHD:FCode,39001,NHD:FCode=39001,,,,26614,,,,26518,,96,,No,,,,,,5450
NHD:FCode,39004,NHD:FCode=39004,,,,406671,,4,,403186,0,3481,0,No,,,,,,645
NHD:FCode,39010,NHD:FCode=39010,,,,38339,,,,38104,,235,,No,,,,,,4065
NHD:FCode,46003,NHD:FCode=46003,,,,685456,0,,,685424,0,32,,No,,,,,,441
NHD:FCode,46006,NHD:FCode=46006,,,,572265,0,3,,571553,0,709,0,No,,,,,,506
NHD:FCode,46007,NHD:FCode=46007,,,,44020,,,,44020,,,,No,,,,,,3660
NHD:FCode,46600,NHD:FCode=46600,,,,80076,,4,,75806,0,4266,0,No,,,,,,2341
NHD:FCode,55800,NHD:FCode=55800,,,,153153,,,,153087,0,66,,No,,,,,,1413
NHD:FDate,2003/10/01,NHD:FDate=2003/10/01,,,,18325,,,,18226,,99,,No,,,,,,7548
NHD:FDate,2003/10/14,NHD:FDate=2003/10/14,,,,11966,,,,11960,,6,,No,,,,,,11243
NHD:FDate,2004/11/11,NHD:FDate=2004/11/11,,,,13448,,,,13419,,29,,No,,,,,,10029
NHD:FDate,2004/12/17,NHD:FDate=2004/12/17,,,,23696,,,,23552,,144,,No,,,,,,5999
NHD:FDate,2005/04/02,NHD:FDate=2005/04/02,,,,22385,,,,22346,,39,,No,,,,,,6303
NHD:FDate,2005/08/26,NHD:FDate=2005/08/26,,,,16143,,,,15917,,226,,No,,,,,,8439
NHD:FDate,2006/03/28,NHD:FDate=2006/03/28,,,,10871,,,,10870,,1,,No,,,,,,12389
NHD:FDate,2006/03/29,NHD:FDate=2006/03/29,,,,13481,,,,13382,,99,,No,,,,,,10005
NHD:FDate,2006/05/04,NHD:FDate=2006/05/04,,,,15055,,,,15033,,22,,No,,,,,,9020
NHD:FDate,2006/05/17,NHD:FDate=2006/05/17,,,,14732,,,,14702,,30,,No,,,,,,9216
NHD:FDate,2007/04/29,NHD:FDate=2007/04/29,,,,10048,,,,9882,,166,,No,,,,,,13342
NHD:FDate,2007/08/08,NHD:FDate=2007/08/08,,NHD: DATA	=	*,NHD: FEcha	=	*,12561,,,,11917,,644,,No,,NHD: DATA,*,NHD: FEcha,*,18164
NHD:FLOWDIR,With Digitized,NHD:FLOWDIR=With Digitized,,,,51992,,,,51992,,,,No,,,,,,3206
NHD:FLOWDIR,With␣Digitized,,,NHD:FLUIX DIR	=	Amb␣Digitalitzat,NHD:FLUJO DIR	=	Con␣Digitalizado,,,,,,,,,,,NHD:FLUIX DIR,Amb␣Digitalitzat,NHD:FLUJO DIR,Con␣Digitalizado,18165
NHD:FTYPE,LakePond,NHD:FTYPE=LakePond,,,,470582,,5,,466415,0,4162,0,No,,,,,,570
NHD:FTYPE,StreamRiver,NHD:FTYPE=StreamRiver,,,,49409,,,,48745,,664,,No,,,,,,3347
NHD:FTYPE,SwampMarsh,NHD:FTYPE=SwampMarsh,,NHD:FTYPE	=	PantàMarsh,NHD:FTYPE	=	PantanoMarsh,80086,,4,,75810,0,4272,0,No,,NHD:FTYPE,PantàMarsh,NHD:FTYPE,PantanoMarsh,18169
NHD:FType,460,NHD:FType=460,,voltatge: secundari	=	*,NHD: Tipo F	=	*,13643,,,,13641,,2,,No,,voltatge: secundari,*,NHD: Tipo F,*,18171
NHD:FType,ArtificialPath,NHD:FType=ArtificialPath,,NHD: Tipus F	=	camí artificial,NHD: Tipo F	=	camino artificial,138421,,,,138357,0,64,,No,,NHD: Tipus F,camí artificial,NHD: Tipo F,camino artificial,18167
NHD:FType,CanalDitch,NHD:FType=CanalDitch,,NHD: Tipus F	=	canalzanja,NHD: Tipo F	=	canalzanja,94294,,,,94291,0,3,,No,,NHD: Tipus F,canalzanja,NHD: Tipo F,canalzanja,18168
NHD:FType,StreamRiver,NHD:FType=StreamRiver,,NHD: Tipus F	=	RierolRiu,NHD: Tipo F	=	ArroyoRío,1220814,0,3,,1220753,0,58,,No,,NHD: Tipus F,RierolRiu,NHD: Tipo F,ArroyoRío,18166
NHD:RESOLUTION,2,NHD:RESOLUTION=2,,local_ref	=	*,NHD:RESOLUCIÓN	=	*,17386,,,,17386,,,,No,,local_ref,*,NHD:RESOLUCIÓN,*,18174
NHD:RESOLUTION,High,NHD:RESOLUTION=High,,,,1643484,0,48,,1636203,0,7233,0,No,,,,,,221
NHD:RESOLUTION,Medium,NHD:RESOLUTION=Medium,,NHD:RESOLUCIÓ	=	Mitjà,NHD:RESOLUCIÓN	=	Medio,24183,,,,23930,,253,,No,,NHD:RESOLUCIÓ,Mitjà,NHD:RESOLUCIÓN,Medio,18173
NHD:Resolution,High,NHD:Resolution=High,,NHD:Resolució	=	Alt,NHD:Resolución	=	Alto,156576,,,,155349,0,1227,0,No,,NHD:Resolució,Alt,NHD:Resolución,Alto,18172
NHS,Interstate,NHS=Interstate,,Servei Nacional de Salut	=	Interestatal,Servicio Nacional de Salud	=	Interestatal,18881,,1,,18866,,14,,No,,Servei Nacional de Salut,Interestatal,Servicio Nacional de Salud,Interestatal,18177
NHS,STRAHNET,NHS=STRAHNET,,Servei Nacional de Salut	=	STRAHNET,Servicio Nacional de Salud	=	STRAHNET,44509,,,,44432,,77,,No,1,Servei Nacional de Salut,STRAHNET,Servicio Nacional de Salud,STRAHNET,18176
NHS,yes,NHS=yes,,Servei Nacional de Salut	=	sí,Servicio Nacional de Salud	=	sí,307121,,34,,307059,0,28,,No,,Servei Nacional de Salut,sí,Servicio Nacional de Salud,sí,18175
STIF:zone,5,STIF:zone=5,,comptador_de_passos	=	*,STIF:zona	=	*,14177,,14156,0,21,,,,No,,comptador_de_passos,*,STIF:zona,*,20971
TMC:Direction,negative,,,TMC:Direcció	=	negatiu,TMC:Dirección	=	negativo,,,,,,,,,,,TMC:Direcció,negatiu,TMC:Dirección,negativo,21193
TMC:Direction,positive,,,TMC:Direcció	=	positiu,TMC:Dirección	=	positivo,,,,,,,,,,,TMC:Direcció,positiu,TMC:Dirección,positivo,21194
TMC:cid_58:tabcd_1:Class,Point,TMC:cid_58:tabcd_1:Class=Point,,TMC:cid_58:tabcd_1:Classe	=	Punt,TMC:cid_58:tabcd_1:Clase	=	Punto,28053,,21367,0,556,,6130,0,No,1,TMC:cid_58:tabcd_1:Classe,Punt,TMC:cid_58:tabcd_1:Clase,Punto,21190
TMC:cid_58:tabcd_1:Direction,both,TMC:cid_58:tabcd_1:Direction=both,,TMC:cid_58:tabcd_1:Direcció	=	ambdues coses,TMC:cid_58:tabcd_1:Dirección	=	ambas cosas,10080,,6354,,219,,3507,0,No,1,TMC:cid_58:tabcd_1:Direcció,ambdues coses,TMC:cid_58:tabcd_1:Dirección,ambas cosas,21191
TMC:cid_58:tabcd_1:LCLversion,9.00,TMC:cid_58:tabcd_1:LCLversion=9.00,,TMC:cid_58:tabcd_1:LCLversió	=	*,TMC:cid_58:tabcd_1:LCLversión	=	*,26056,,15167,0,704,,10185,0,No,1,TMC:cid_58:tabcd_1:LCLversió,*,TMC:cid_58:tabcd_1:LCLversión,*,21192
abandoned,yes,abandoned=yes,,Abandonat	=	sí,Abandonado	=	sí,130790,,26042,0,103443,0,1305,0,Yes,4,Abandonat,sí,Abandonado,sí,13421
abandoned:amenity,prison,,,abandonat: amenitat/servei	=	presó,abandonado: amenidad/servicio	=	prisión,,,,,,,,,,,abandonat: amenitat/servei,presó,abandonado: amenidad/servicio,prisión,13423
abandoned:amenity,prison_camp,,,abandonat: amenitat/servei	=	camp de presoners,abandonado: amenidad/servicio	=	campo de prisioneros,,,,,,,,,,,abandonat: amenitat/servei,camp de presoners,abandonado: amenidad/servicio,campo de prisioneros,13422
abandoned:building,yes,abandoned:building=yes,,Abandonat:edifici	=	sí,Abandonado:edificio	=	sí,131992,,327,,131574,0,91,,No,,Abandonat:edifici,sí,Abandonado:edificio,sí,13424
abandoned:highway,path,abandoned:highway=path,,,,15325,,1,,15324,,,,No,2,,,,,8863
abandoned:highway,track,abandoned:highway=track,,abandonat: carretera	=	pista,abandonado:carretera	=	pista,49568,,18,,49549,,1,,No,2,abandonat: carretera,pista,abandonado:carretera,pista,13425
abandoned:landuse,landfill,,,abandonat: ús de la terra	=	abocador,abandonado: uso de la tierra	=	vertedero,,,,,,,,,,,abandonat: ús de la terra,abocador,abandonado: uso de la tierra,vertedero,13427
abandoned:landuse,quarry,,,abandonat: ús de la terra	=	pedrera,abandonado: uso de la tierra	=	cantera,,,,,,,,,,,abandonat: ús de la terra,pedrera,abandonado: uso de la tierra,cantera,13426
abandoned:man_made,petroleum_well,abandoned:man_made=petroleum_well,,abandonat:fet per lhome	=	pou_de_petroli,abandonado:hecho por el hombre	=	pozo_de_petroleo,14986,,14984,0,1,,1,,No,,abandonat:fet per lhome,pou_de_petroli,abandonado:hecho por el hombre,pozo_de_petroleo,13428
abandoned:man_made,pipeline,abandoned:man_made=pipeline,,,,15001,,,,15001,,,,No,,,,,,9049
abandoned:place,hamlet,abandoned:place=hamlet,,,,11426,,9351,,1493,,582,,No,1,,,,,11770
