key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,number
oneway,yes,oneway=yes,An OSM oneway tag with value 'yes' used to describe oneway features,Una etiqueta OSM oneway amb valor 'yes' utilitzada per descriure característiques oneway,Una etiqueta OSM oneway con valor 'yes' utilizada para describir características oneway,19334055,0.0017,745,0.0,19331037,17,2273,0.0002,Yes,18,15
highway,unclassified,highway=unclassified,An unclassified road is a minor road that has not been assigned a specific functional classification,Una carretera sense classificar és una carretera menor que no ha rebut una classificació funcional específica,Una carretera sin clasificar es una carretera menor que no ha recibido una clasificación funcional específica,18120157,0.0016,215,0.0,18119826,16,116,0.0,Yes,39,16
power,pole,power=pole,An OSM power tag with value 'pole' used to describe power features,Una etiqueta OSM power amb valor 'pole' utilitzada per descriure característiques power,Una etiqueta OSM power con valor 'pole' utilizada para describir características power,17658856,0.0016,17658752,0.0646,104,0.0,0,0.0,Yes,19,17
power,tower,power=tower,An OSM power tag with value 'tower' used to describe power features,Una etiqueta OSM power amb valor 'tower' utilitzada per descriure característiques power,Una etiqueta OSM power con valor 'tower' utilizada para describir características power,17628186,0.0016,17627878,0.0645,308,0.0,0,0.0,Yes,18,18
service,driveway,service=driveway,An OSM service tag with value 'driveway' used to describe service features,Una etiqueta OSM service amb valor 'driveway' utilitzada per descriure característiques service,Una etiqueta OSM service con valor 'driveway' utilizada para describir características service,17539977,0.0015,900,0.0,17538655,0.0155,422,0.0,Yes,10,19
access,private,access=private,An OSM access tag with value 'private' used to describe access features,Una etiqueta OSM access amb valor 'private' utilitzada per descriure característiques access,Una etiqueta OSM access con valor 'private' utilizada para describir características access,17108263,0.0015,1842318,0.0067,15242078,0.0134,23867,0.0017,Yes,41,20
building,residential,building=residential,A residential building is a structure designed specifically for housing people and families,Un edifici residencial és una estructura dissenyada específicament per allotjar persones i famílies,Un edificio residencial es una estructura diseñada específicamente para alojar personas y familias,15774382,0.0014,95549,0.0003,15639552,0.0138,39281,0.0029,Yes,10,21
highway,path,highway=path,"A path is a generic trail or walkway for pedestrians, often found in parks, forests, or rural areas","Un camí és un sender o passeig genèric per a vianants, sovint trobat en parcs, boscos o zones rurals","Un camino es un sendero o paseo genérico para peatones, a menudo encontrado en parques, bosques o áreas rurales",15572089,0.0014,496,0.0,15571271,0.0137,322,0.0,Yes,37,22
source,Bing,source=Bing,An OSM source tag with value 'Bing' used to describe source features,Una etiqueta OSM source amb valor 'Bing' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'Bing' utilizada para describir características source,14347211,0.0013,1914930,7,12397647,0.0109,34634,0.0025,Yes,2,23
addr:country,DE,addr:country=DE,An OSM addr:country tag with value 'DE' used to describe addr:country features,Una etiqueta OSM addr:country amb valor 'DE' utilitzada per descriure característiques addr:country,Una etiqueta OSM addr:country con valor 'DE' utilizada para describir características addr:country,14139462,0.0012,2846134,0.0104,11283687,0.0099,9641,0.0007,Yes,2,24
surface,unpaved,surface=unpaved,"An unpaved surface is made of natural materials like gravel, dirt, or grass, without artificial paving","Una superfície sense pavimentar està feta de materials naturals com grava, terra o herba, sense paviment artificial","Una superficie sin pavimentar está hecha de materiales naturales como grava, tierra o hierba, sin pavimento artificial",12625117,0.0011,93057,0.0003,12530995,11,1065,0.0001,Yes,22,25
wall,no,wall=no,An OSM wall tag with value 'no' used to describe wall features,Una etiqueta OSM wall amb valor 'no' utilitzada per descriure característiques wall,Una etiqueta OSM wall con valor 'no' utilizada para describir características wall,12177928,0.0011,464,0.0,12170596,0.0107,6868,0.0005,Yes,1,26
natural,wood,natural=wood,"A wood is a forested area covered with trees and woody vegetation, typically larger than a grove","Un bosc és una zona forestal coberta d'arbres i vegetació llenyosa, típicament més gran qu'una arbreda","Un bosque es un área forestal cubierta de árboles y vegetación leñosa, típicament más grande que una arboleda",11683458,1,32212,0.0001,10744170,0.0095,907076,0.0661,Yes,32,27
highway,crossing,highway=crossing,An OSM highway tag with value 'crossing' used to describe highway features,Una etiqueta OSM highway amb valor 'crossing' utilitzada per descriure característiques highway,Una etiqueta OSM highway con valor 'crossing' utilizada para describir características highway,11610741,1,11610317,0.0425,424,0.0,0,0.0,Yes,22,28
source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,source=cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,An OSM source tag with value 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010' used to describe source features,Una etiqueta OSM source amb valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010' utilizada para describir características source,11193501,1,269543,1,10920170,0.0096,3788,0.0003,No,0,29
lanes,2,lanes=2,An OSM lanes tag with value '2' used to describe lanes features,Una etiqueta OSM lanes amb valor '2' utilitzada per descriure característiques lanes,Una etiqueta OSM lanes con valor '2' utilizada para describir características lanes,11130514,1,1622,0.0,11126881,0.0098,2011,0.0001,Yes,5,30
landuse,farmland,landuse=farmland,An OSM landuse tag with value 'farmland' used to describe landuse features,Una etiqueta OSM landuse amb valor 'farmland' utilitzada per descriure característiques landuse,Una etiqueta OSM landuse con valor 'farmland' utilizada para describir características landuse,10920792,1,1892,0.0,10339609,0.0091,579291,0.0422,Yes,21,31
building:levels,2,building:levels=2,An OSM building:levels tag with value '2' used to describe building:levels features,Una etiqueta OSM building:levels amb valor '2' utilitzada per descriure característiques building:levels,Una etiqueta OSM building:levels con valor '2' utilizada para describir características building:levels,10739770,0.0009,16223,0.0001,10670752,0.0094,52795,0.0038,No,3,32
tiger:reviewed,no,tiger:reviewed=no,An OSM tiger:reviewed tag with value 'no' used to describe tiger:reviewed features,Una etiqueta OSM tiger:reviewed amb valor 'no' utilitzada per descriure característiques tiger:reviewed,Una etiqueta OSM tiger:reviewed con valor 'no' utilizada para describir características tiger:reviewed,10511384,0.0009,123,0.0,10509082,0.0093,2179,0.0002,No,0,33
lit,yes,lit=yes,An OSM lit tag with value 'yes' used to describe lit features,Una etiqueta OSM lit amb valor 'yes' utilitzada per descriure característiques lit,Una etiqueta OSM lit con valor 'yes' utilizada para describir características lit,10470604,0.0009,485538,0.0018,9964791,0.0088,20275,0.0015,Yes,17,34
landuse,residential,landuse=residential,"Residential land use designates areas primarily intended for housing, living, and residential development","L'ús residencial del sòl designa zones destinades principalment a l'habitatge, vida i desenvolupament residencial","El uso residencial del suelo designa áreas destinadas principalmente a vivienda, vida y desarrollo residencial",10071844,0.0009,24142,0.0001,9701144,0.0085,346558,0.0253,Yes,27,35
tiger:cfcc,A41,tiger:cfcc=A41,An OSM tiger:cfcc tag with value 'A41' used to describe tiger:cfcc features,Una etiqueta OSM tiger:cfcc amb valor 'A41' utilitzada per descriure característiques tiger:cfcc,Una etiqueta OSM tiger:cfcc con valor 'A41' utilizada para describir características tiger:cfcc,9874253,0.0009,14,0.0,9874212,0.0087,27,0.0,No,0,36
addr:country,TW,addr:country=TW,An OSM addr:country tag with value 'TW' used to describe addr:country features,Una etiqueta OSM addr:country amb valor 'TW' utilitzada per descriure característiques addr:country,Una etiqueta OSM addr:country con valor 'TW' utilizada para describir características addr:country,9651078,0.0009,9617253,0.0352,31889,0.0,1936,0.0001,Yes,2,37
building,detached,building=detached,An OSM building tag with value 'detached' used to describe building features,Una etiqueta OSM building amb valor 'detached' utilitzada per descriure característiques building,Una etiqueta OSM building con valor 'detached' utilizada para describir características building,9320446,0.0008,80683,0.0003,9233312,0.0081,6451,0.0005,Yes,8,38
layer,1,layer=1,An OSM layer tag with value '1' used to describe layer features,Una etiqueta OSM layer amb valor '1' utilitzada per descriure característiques layer,Una etiqueta OSM layer con valor '1' utilizada para describir características layer,8854859,0.0008,40386,0.0001,8790609,0.0077,23864,0.0017,Yes,4,39
barrier,fence,barrier=fence,An OSM barrier tag with value 'fence' used to describe barrier features,Una etiqueta OSM barrier amb valor 'fence' utilitzada per descriure característiques barrier,Una etiqueta OSM barrier con valor 'fence' utilizada para describir características barrier,8769291,0.0008,10380,0.0,8753871,0.0077,5040,0.0004,Yes,30,40
source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,source=cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,An OSM source tag with value 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011' used to describe source features,Una etiqueta OSM source amb valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011' utilizada para describir características source,8728162,0.0008,135125,0.0005,8590149,0.0076,2888,0.0002,No,0,41
highway,tertiary,highway=tertiary,"A tertiary road serves local destinations and communities, providing access to residential and commercial areas","Una carretera terciària serveix destinacions i comunitats locals, proporcionant accés a zones residencials i comercials","Una carretera terciaria sirve destinos y comunidades locales, proporcionando acceso a áreas residenciales y comerciales",8678474,0.0008,95,0.0,8677155,0.0076,1224,0.0001,Yes,40,42
leaf_type,broadleaved,leaf_type=broadleaved,An OSM leaf_type tag with value 'broadleaved' used to describe leaf_type features,Una etiqueta OSM leaf_type amb valor 'broadleaved' utilitzada per descriure característiques leaf_type,Una etiqueta OSM leaf_type con valor 'broadleaved' utilizada para describir características leaf_type,7948663,0.0007,6220434,0.0228,1652715,0.0015,75514,0.0055,Yes,15,43
source,maxar,source=maxar,An OSM source tag with value 'maxar' used to describe source features,Una etiqueta OSM source amb valor 'maxar' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'maxar' utilizada para describir características source,7833895,0.0007,57688,0.0002,7776144,0.0069,63,0.0,Yes,1,44
building,garage,building=garage,An OSM building tag with value 'garage' used to describe building features,Una etiqueta OSM building amb valor 'garage' utilitzada per descriure característiques building,Una etiqueta OSM building con valor 'garage' utilizada para describir características building,7730122,0.0007,2322,0.0,7725068,0.0068,2732,0.0002,Yes,10,45
type,multipolygon,type=multipolygon,An OSM type tag with value 'multipolygon' used to describe type features,Una etiqueta OSM type amb valor 'multipolygon' utilitzada per descriure característiques type,Una etiqueta OSM type con valor 'multipolygon' utilizada para describir características type,7574313,0.0007,85,0.0,4720,0.0,7569508,0.5515,Yes,14,46
source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,source=cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,An OSM source tag with value 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012' used to describe source features,Una etiqueta OSM source amb valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012' utilizada para describir características source,7540468,0.0007,144184,0.0005,7394148,0.0065,2136,0.0002,No,0,47
building,apartments,building=apartments,An apartments building is a residential structure containing multiple housing units for different families,Un edifici d'apartaments és una estructura residencial que conté múltiples unitats d'habitatge per a diferents famílies,Un edificio de apartamentos es una estructura residencial que contiene múltiples unidades de vivienda para diferentes familias,7394711,0.0007,28530,0.0001,7255799,0.0064,110382,8,Yes,10,48
source,bing,source=bing,An OSM source tag with value 'bing' used to describe source features,Una etiqueta OSM source amb valor 'bing' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'bing' utilizada para describir características source,7220583,0.0006,973391,0.0036,6215033,0.0055,32159,0.0023,Yes,1,49
source:date,2014-03-24,source:date=2014-03-24,An OSM source:date tag with value '2014-03-24' used to describe source:date features,Una etiqueta OSM source:date amb valor '2014-03-24' utilitzada per descriure característiques source:date,Una etiqueta OSM source:date con valor '2014-03-24' utilizada para describir características source:date,7020593,0.0006,3538243,0.0129,3479861,0.0031,2489,0.0002,No,0,50
landuse,grass,landuse=grass,An OSM landuse tag with value 'grass' used to describe landuse features,Una etiqueta OSM landuse amb valor 'grass' utilitzada per descriure característiques landuse,Una etiqueta OSM landuse con valor 'grass' utilizada para describir características landuse,6961942,0.0006,849,0.0,6746346,0.0059,214747,0.0156,Yes,24,51
service,parking_aisle,service=parking_aisle,An OSM service tag with value 'parking_aisle' used to describe service features,Una etiqueta OSM service amb valor 'parking_aisle' utilitzada per descriure característiques service,Una etiqueta OSM service con valor 'parking_aisle' utilizada para describir características service,6927924,0.0006,475,0.0,6927339,0.0061,110,0.0,Yes,10,52
bridge,yes,bridge=yes,An OSM bridge tag with value 'yes' used to describe bridge features,Una etiqueta OSM bridge amb valor 'yes' utilitzada per descriure característiques bridge,Una etiqueta OSM bridge con valor 'yes' utilizada para describir características bridge,6793854,0.0006,1652,0.0,6791268,6,934,0.0001,Yes,19,53
footway,sidewalk,footway=sidewalk,An OSM footway tag with value 'sidewalk' used to describe footway features,Una etiqueta OSM footway amb valor 'sidewalk' utilitzada per descriure característiques footway,Una etiqueta OSM footway con valor 'sidewalk' utilizada para describir características footway,6749425,0.0006,138,0.0,6747204,0.0059,2083,0.0002,Yes,15,54
intermittent,yes,intermittent=yes,An OSM intermittent tag with value 'yes' used to describe intermittent features,Una etiqueta OSM intermittent amb valor 'yes' utilitzada per descriure característiques intermittent,Una etiqueta OSM intermittent con valor 'yes' utilizada para describir características intermittent,6583430,0.0006,25491,0.0001,6520474,0.0057,37465,0.0027,Yes,14,55
amenity,parking,amenity=parking,"A parking facility provides designated spaces for vehicles to be parked, either for short-term or long-term use","Una instal·lació d'aparcament proporciona espais designats perquè els vehicles s'aparcin, ja sigui per ús a curt o llarg termini","Una instalación de aparcamiento proporciona espacios designados para que los vehículos se aparquen, ya sea para uso a corto o largo plazo",6244956,0.0006,409766,0.0015,5758886,0.0051,76304,0.0056,Yes,36,56
barrier,gate,barrier=gate,An OSM barrier tag with value 'gate' used to describe barrier features,Una etiqueta OSM barrier amb valor 'gate' utilitzada per descriure característiques barrier,Una etiqueta OSM barrier con valor 'gate' utilizada para describir características barrier,6143252,0.0005,5895589,0.0216,247646,0.0002,17,0.0,Yes,25,57
landuse,forest,landuse=forest,"Forest land use designates areas covered with trees and managed for forestry, timber, and conservation","L'ús forestal del sòl designa zones cobertes d'arbres i gestionades per a silvicultura, fusta i conservació","El uso forestal del suelo designa áreas cubiertas de árboles y gestionadas para silvicultura, madera y conservación",5708070,0.0005,2369,0.0,5308366,0.0047,397335,29,Yes,32,58
barrier,wall,barrier=wall,An OSM barrier tag with value 'wall' used to describe barrier features,Una etiqueta OSM barrier amb valor 'wall' utilitzada per descriure característiques barrier,Una etiqueta OSM barrier con valor 'wall' utilizada para describir características barrier,5615111,0.0005,2647,0.0,5609615,0.0049,2849,0.0002,Yes,29,59
highway,secondary,highway=secondary,"A secondary road connects smaller towns, villages, and regional destinations, supporting local transportation","Una carretera secundària connecta pobles més petits, vil·les i destinacions regionals, donant suport al transport local","Una carretera secundaria conecta pueblos más pequeños, villas y destinos regionales, apoyando el transporte local",5584542,0.0005,29,0.0,5583797,0.0049,716,0.0001,Yes,38,60
layer,-1,layer=-1,An OSM layer tag with value '-1' used to describe layer features,Una etiqueta OSM layer amb valor '-1' utilitzada per descriure característiques layer,Una etiqueta OSM layer con valor '-1' utilizada para describir características layer,5496757,0.0005,49152,0.0002,5443369,0.0048,4236,0.0003,Yes,4,61
power,generator,power=generator,An OSM power tag with value 'generator' used to describe power features,Una etiqueta OSM power amb valor 'generator' utilitzada per descriure característiques power,Una etiqueta OSM power con valor 'generator' utilizada para describir características power,5437158,0.0005,1257067,0.0046,4172809,0.0037,7282,0.0005,Yes,22,62
highway,street_lamp,highway=street_lamp,An OSM highway tag with value 'street_lamp' used to describe highway features,Una etiqueta OSM highway amb valor 'street_lamp' utilitzada per descriure característiques highway,Una etiqueta OSM highway con valor 'street_lamp' utilizada para describir características highway,5281926,0.0005,5281857,0.0193,67,0.0,2,0.0,Yes,22,63
natural,scrub,natural=scrub,An OSM natural tag with value 'scrub' used to describe natural features,Una etiqueta OSM natural amb valor 'scrub' utilitzada per descriure característiques natural,Una etiqueta OSM natural con valor 'scrub' utilizada para describir características natural,5145154,0.0005,2032,0.0,4798594,0.0042,344528,0.0251,Yes,27,64
landuse,meadow,landuse=meadow,An OSM landuse tag with value 'meadow' used to describe landuse features,Una etiqueta OSM landuse amb valor 'meadow' utilitzada per descriure característiques landuse,Una etiqueta OSM landuse con valor 'meadow' utilizada para describir características landuse,5034517,0.0004,262,0.0,4654404,0.0041,379851,0.0277,Yes,24,65
source,digitalglobe,source=digitalglobe,An OSM source tag with value 'digitalglobe' used to describe source features,Una etiqueta OSM source amb valor 'digitalglobe' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'digitalglobe' utilizada para describir características source,5024304,0.0004,24908,0.0001,4999291,0.0044,105,0.0,Yes,1,66
generator:source,solar,generator:source=solar,An OSM generator:source tag with value 'solar' used to describe generator:source features,Una etiqueta OSM generator:source amb valor 'solar' utilitzada per descriure característiques generator:source,Una etiqueta OSM generator:source con valor 'solar' utilizada para describir características generator:source,4941031,0.0004,783272,0.0029,4150626,0.0037,7133,0.0005,Yes,12,67
oneway,no,oneway=no,An OSM oneway tag with value 'no' used to describe oneway features,Una etiqueta OSM oneway amb valor 'no' utilitzada per descriure característiques oneway,Una etiqueta OSM oneway con valor 'no' utilizada para describir características oneway,4926003,0.0004,1345,0.0,4922326,0.0043,2332,0.0002,Yes,11,68
roof:shape,gabled,roof:shape=gabled,An OSM roof:shape tag with value 'gabled' used to describe roof:shape features,Una etiqueta OSM roof:shape amb valor 'gabled' utilitzada per descriure característiques roof:shape,Una etiqueta OSM roof:shape con valor 'gabled' utilizada para describir características roof:shape,4923304,0.0004,4483,0.0,4903820,0.0043,15001,0.0011,Yes,6,69
footway,crossing,footway=crossing,An OSM footway tag with value 'crossing' used to describe footway features,Una etiqueta OSM footway amb valor 'crossing' utilitzada per descriure característiques footway,Una etiqueta OSM footway con valor 'crossing' utilizada para describir características footway,4797921,0.0004,5027,0.0,4792820,0.0042,74,0.0,Yes,16,70
generator:type,solar_photovoltaic_panel,generator:type=solar_photovoltaic_panel,An OSM generator:type tag with value 'solar_photovoltaic_panel' used to describe generator:type features,Una etiqueta OSM generator:type amb valor 'solar_photovoltaic_panel' utilitzada per descriure característiques generator:type,Una etiqueta OSM generator:type con valor 'solar_photovoltaic_panel' utilizada para describir características generator:type,4784533,0.0004,761952,0.0028,4015667,0.0035,6914,0.0005,Yes,8,71
generator:method,photovoltaic,generator:method=photovoltaic,An OSM generator:method tag with value 'photovoltaic' used to describe generator:method features,Una etiqueta OSM generator:method amb valor 'photovoltaic' utilitzada per descriure característiques generator:method,Una etiqueta OSM generator:method con valor 'photovoltaic' utilizada para describir características generator:method,4781861,0.0004,768894,0.0028,4006001,0.0035,6966,0.0005,Yes,11,72
generator:output:electricity,yes,generator:output:electricity=yes,An OSM generator:output:electricity tag with value 'yes' used to describe generator:output:electricity features,Una etiqueta OSM generator:output:electricity amb valor 'yes' utilitzada per descriure característiques generator:output:electricity,Una etiqueta OSM generator:output:electricity con valor 'yes' utilizada para describir características generator:output:electricity,4746074,0.0004,784821,0.0029,3954975,0.0035,6278,0.0005,No,5,73
addr:state,NY,addr:state=NY,An OSM addr:state tag with value 'NY' used to describe addr:state features,Una etiqueta OSM addr:state amb valor 'NY' utilitzada per descriure característiques addr:state,Una etiqueta OSM addr:state con valor 'NY' utilizada para describir características addr:state,4599130,0.0004,2774994,0.0102,1822763,0.0016,1373,0.0001,Yes,1,74
surface,concrete,surface=concrete,"Concrete is a hard, durable composite material made from cement, aggregate, and water, used for various surfaces","El formigó és un material compost dur i durador fet de ciment, àrids i aigua, utilitzat per a diverses superfícies","El hormigón es un material compuesto duro y duradero hecho de cemento, áridos y agua, utilizado para diversas superficies",4584602,0.0004,27722,0.0001,4549867,4,7013,0.0005,Yes,26,75
bus,yes,bus=yes,An OSM bus tag with value 'yes' used to describe bus features,Una etiqueta OSM bus amb valor 'yes' utilitzada per descriure característiques bus,Una etiqueta OSM bus con valor 'yes' utilizada para describir características bus,4575365,0.0004,4289466,0.0157,251936,0.0002,33963,0.0025,Yes,16,76
source,YahooJapan/ALPSMAP,source=YahooJapan/ALPSMAP,An OSM source tag with value 'YahooJapan/ALPSMAP' used to describe source features,Una etiqueta OSM source amb valor 'YahooJapan/ALPSMAP' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'YahooJapan/ALPSMAP' utilizada para describir características source,4499069,0.0004,18442,0.0001,4480599,0.0039,28,0.0,No,0,77
lanes,1,lanes=1,An OSM lanes tag with value '1' used to describe lanes features,Una etiqueta OSM lanes amb valor '1' utilitzada per descriure característiques lanes,Una etiqueta OSM lanes con valor '1' utilizada para describir características lanes,4493092,0.0004,1274,0.0,4486844,4,4974,0.0004,Yes,4,78
maxspeed,50,maxspeed=50,An OSM maxspeed tag with value '50' used to describe maxspeed features,Una etiqueta OSM maxspeed amb valor '50' utilitzada per descriure característiques maxspeed,Una etiqueta OSM maxspeed con valor '50' utilizada para describir características maxspeed,4481189,0.0004,45108,0.0002,4428673,0.0039,7408,0.0005,Yes,6,79
surface,paving_stones,surface=paving_stones,An OSM surface tag with value 'paving_stones' used to describe surface features,Una etiqueta OSM surface amb valor 'paving_stones' utilitzada per descriure característiques surface,Una etiqueta OSM surface con valor 'paving_stones' utilizada para describir características surface,4427676,0.0004,30484,0.0001,4383525,0.0039,13667,1,Yes,23,80
source,www.geoportal.gov.pl,source=www.geoportal.gov.pl,An OSM source tag with value 'www.geoportal.gov.pl' used to describe source features,Una etiqueta OSM source amb valor 'www.geoportal.gov.pl' utilitzada per descriure característiques source,Una etiqueta OSM source con valor 'www.geoportal.gov.pl' utilizada para describir características source,4414736,0.0004,1548,0.0,4412834,0.0039,354,0.0,Yes,1,81
waterway,ditch,waterway=ditch,An OSM waterway tag with value 'ditch' used to describe waterway features,Una etiqueta OSM waterway amb valor 'ditch' utilitzada per descriure característiques waterway,Una etiqueta OSM waterway con valor 'ditch' utilizada para describir características waterway,4405004,0.0004,635,0.0,4399950,0.0039,4419,0.0003,Yes,23,82
surface,paved,surface=paved,"A paved surface is covered with artificial materials such as stone, brick, concrete, or asphalt","Una superfície pavimentada està coberta de materials artificials com pedra, maó, formigó o asfalt","Una superficie pavimentada está cubierta de materiales artificiales como piedra, ladrillo, hormigón o asfalto",4379770,0.0004,15582,0.0001,4358666,0.0038,5522,0.0004,Yes,21,83
natural,wetland,natural=wetland,An OSM natural tag with value 'wetland' used to describe natural features,Una etiqueta OSM natural amb valor 'wetland' utilitzada per descriure característiques natural,Una etiqueta OSM natural con valor 'wetland' utilizada para describir características natural,4340931,0.0004,12920,0.0,3554508,0.0031,773503,0.0564,Yes,27,84
