key,value,definición
addr:district,龜山區,addr:district=龜山區
addr:district:en,Al Agouza,addr:distrito:gl=Al Agouza
addr:district:en,Western_Al_Omraneya,address:district:es = Occidental_Al_Omraneya
addr:division,Kawempe,enderezo:división = Kawempe
addr:division,Rajshahi,enderezo:#reparto=Rajshahi
addr:flats,1-2,enderezo: pisos = *
addr:flats,1-20,enderezo:pisos=1-20
addr:flats,1-3,enderezo:pisos=1-3
addr:flats,1-4,enderezo:pisos=1-4
addr:flats,A;B,enderezo:pisos=Un;B
addr:floor,0,enderezo:andar=0
addr:floor,Floor_1,enderezo:andar = Andar_1
addr:floor,Floor_2,enderezo:andar = Andar_2
addr:hamlet,*,enderezo: aldea = *
addr:hamlet,三和里,addr:villorio=三和里
addr:housenumber,0,enderezo:número da casa=0
addr:inclusion,actual,enderezo: inclusión = actual
addr:inclusion,estimate,dirección: inclusión = estimación
addr:inclusion,potential,dirección: inclusión = potencial
addr:interpolation,all,enderezo:interpolación = todo
addr:interpolation,even,dirección:interpolación = par
addr:interpolation,odd,dirección:interpolación = estraño
addr:municipality,Aabenraa,enderezo:concello=Aabenraa
addr:municipality,Vordingborg,enderezo: concello = Vordingborg
addr:neighbourhood,1,enderezo:barrio=1
addr:neighbourhood,*,enderezo: barrio = *
addr:place,*,enderezo:lugar = *
addr:place,المجاورة 1,addr:site= páxina 1
addr:place:en,Area A,addr:site:in=Área Un
addr:postcode,100,enderezo:código postal=100
addr:postcode,*,Enderezo: Código postal = *
addr:postcode,05-092,enderezo:código postal=05-092
addr:postcode:source,*,Enderezo: Código postal: Orixe = *
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:Cita=from source of the Posta Romana, publicado sub Licența pentru Guvernare Deschisă v1.0 the http://date.gov.ro/organization/posta-romana"
addr:province,*,enderezo: provincia = *
addr:province,AB,enderezo:provincia=AB
addr:province:en,*,enderezo:provincia:es = *
addr:province:en,Al Beheira,addr:province:gl=Al Beheira
addr:region,*,enderezo: rexión = *
addr:region,Farg'ona Viloyati,addr:rexión=Farg'ona Viloyati
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:source=Gatineau.ca/donneesouvertes 08 de agosto de 2015
addr:source,NRW-Atlas,addr:source=Atlas-NRW
addr:state,*,enderezo: estado = *
addr:state,AK,adr:estatal=AK
addr:street,*,"nodo de enderezo: nome da rúa, avenida, paseo marítimo, bulevar, pasaxe, beco: nome da rúa= *"
addr:street:en,Omar Ibn Al Khatab Street,addr:calle:en=Omar Ibn Al Khatab Calle
addr:street:en,Street 1,addr:calle:en=Calle 1
addr:street:en,Street 2,addr:calle:en=Calle 2
addr:street:en,Street 3,addr:calle:en=Calle 3
addr:street:prefix,East,addr:rúa:Levante=prefixo
addr:street:prefix,North,addr:rúa:o prefixo=Desde o norte
addr:street:prefix,South,addr:rúa:o prefixo=Desde o sur
addr:street:prefix,West,addr:rúa:o prefixo=Desde o oeste
addr:street:sym_ul,10898,enderezo:calle:sym_ul=10898
addr:street:sym_ul,21970,enderezo:rúa:sym_ul = *
addr:street:type,Avenue,enderezo:rúa:tipo = Avenida
addr:street:type,Place,enderezo:rúa:Sitio=de tipo
addr:street:type,Street,addr:rúa:Rúa=de tipo
addr:streetnumber,1,enderezo:número da rúa=1
addr:streetnumber,9,enderezo:número da rúa = *
addr:streetnumber,10,enderezo:número da rúa=10
addr:subdistrict,*,enderezo:subdistrito = *
addr:subdistrict,Olaines pagasts,addr:subdistrict=Pagáns de Olaines
addr:subdistrict:en,*,dir:subdistrito:es = *
addr:subdistrict:en,Al Agamy,addr:subdistrito:gl=Al Agamy
addr:suburb,*,enderezo:suburbio = *
addr:suburb,Centro,addr:suburb=Centro
addr:town,*,enderezo: cidade = *
addr:TW:dataset,120044,enderezo:TW:conxunto de datos=120044
addr:TW:dataset,137998,enderezo:TW:conxunto de datos = *
addr:type,water,dirección: tipo = auga
addr:unit,1,enderezo:unidade=1
addr:unit,*,enderezo: unidade = *
addr:unit,A,enderezo:unidade=Un
addr:village,Gumare,enderezo: cidade = Gumaré
addr:ward,Mbagala,enderezo: habitación = Mbagala
addr:ward,Mbagala kuu,addr:ward=Curro de Mbagala
addr:ward,Mbagala_kuu,enderezo: habitación = Mbagala_kuu
addr.source:housenumber,survey,addr.source:número da casa = enquisa
addr.source:street,survey,enderezo.fonte:rúa = enquisa
admin_level,1,nivel de administrador = *
admin_level,2,nivel_administrador=2
admin_level,aboriginal_land,nivel de administrador = terra aborixe
admin_type:PH,barangay,tipo_administrador:PH=barangay
advertising,billboard,publicidade = cartelera
advertising,board,publicidade = taboleiro
advertising,column,publicidade = columna
advertising,flag,publicidade = bandeira
advertising,funding_sign,publicidade = sinal de financiamento
advertising,poster_box,publicidade = caixa_de_póster
advertising,screen,publicidade = pantalla
advertising,sculpture,publicidade = escultura
advertising,sign,publicidade = sinal
advertising,tarp,publicidade = pancarta
advertising,totem,publicidade = tótem
advertising,wall_painting,publicidade = pintura mural
aerialway,cable_car,vía aérea = teleférico
aerialway,canopy,vía aérea = pavillón
aerialway,chair_lift,vía aérea = telesilla
aerialway,drag_lift,vía aérea = elevador de transporte
aerialway,gondola,vía aérea = góndola
aerialway,goods,transporte aéreo = mercadorías
aerialway,j-bar,vía aérea = barra en J
aerialway,magic_carpet,viaxes aéreas = alfombra máxica
aerialway,mixed_lift,transporte aéreo = transporte mixto
aerialway,platter,vía aérea = placa
aerialway,pylon,vía aérea = pilón
aerialway,rope_tow,aéreo = remolque de corda
aerialway,ropetow,aéreo = remolque de corda
aerialway,station,vía aérea = estación
aerialway,t-bar,vía aérea = barra en T
aerialway,zip_line,vía aérea = tirolina
aerialway:drag_lift,j-bar,vía aérea: elevador de arrastre = barra en J
aerialway:drag_lift,platter,vía aérea: elevador de arrastre = placa
aerialway:drag_lift,t-bar,Vía aérea: elevador de arrastre = barra en T
aerodrome:type,airfield,aeródromo:tipo = aeródromo
aerodrome:type,gliding,aeródromo:tipo = planeo
aerodrome:type,international,aeródromo:tipo = internacional
aerodrome:type,military,aeródromo:tipo = militar
aerodrome:type,private,aeródromo:tipo = privado
aerodrome:type,regional,aeródromo:tipo = rexional
aerospace:product,robot,aeroespacial: produto = robot
aerospace:product,rocket,aeroespacial: produto = foguete
aerospace:product,spacecraft_propulsion,aeroespacial: produto = propulsión de naves espaciais
aeroway,aerodrome,vía aérea = aeródromo
aeroway,aircraft_crossing,por vía aérea = cruce de avións
aeroway,airport,viaxe en avión = aeroporto
aeroway,airstrip,vía aérea = pista de aterraxe
aeroway,airtanker_base,vía aérea = base de avións cisterna
aeroway,apron,vía aérea = delantal
aeroway,arresting_gear,ruta aérea = equipo de detención
aeroway,fuel,aire = combustible
aeroway,gate,vía aérea = porta
aeroway,gate/Archived_proposal,vía aérea = porta/proposta arquivada
aeroway,hangar,vía aérea = hangar
aeroway,helipad,viaxe aérea = helipuerto
aeroway,heliport,viaxe aérea = helipuerto
aeroway,highway_strip,ruta aérea = franxa de estrada
aeroway,holding_position,vía aire = posición_de_mantento
aeroway,holding_position_line,vía aérea = liña de posición de espera
aeroway,jet_bridge,vía aérea = ponte de reacción
aeroway,landingpad,vía aérea = pista de aterraxe
aeroway,launch_complex,lanzamento aéreo = complexo de lanzamento
aeroway,launchpad,vía aérea = plataforma de lanzamento
aeroway,marking,viaxe en avión = clasificación
aeroway,navigationaid,vía aérea = axuda á navegación
aeroway,papi,vía aérea = papá
aeroway,parking_position,vía aérea = posición_de_aparcamento
aeroway,runway,vía aérea = pista de aterraxe
aeroway,spaceport,ruta aérea = porto espacial
aeroway,stopway,viaxe en avión = parada
aeroway,taxilane,vía aérea = Carril de taxis
aeroway,taxiway,vía aérea = pista de rodaxe
aeroway,terminal,aire = Terminal
aeroway,tower,vía aérea = torre
aeroway,windsock,vía aérea = manga de vento
age,mature,anos = madurez
age,semi-mature,anos = semimaduro
age,young,anos = novo
agricultural,no,agrícola = non
air_conditioning,no,aire acondicionado=ningún
airmark,beacon,Marca aérea = Faro
ale_supply,limited,subministración de cervexa = limitada
allotments,plot,asignacións = gráfico
alt_name,Kentucky Fried Chicken,alt_Kentucky=zona fría chamada
amenity,administration,comodidade/servizo = administración
amenity,advertising,Servizo/servizo = publicidade
amenity,air_filling,comodidade/servizo = enchido de aire
amenity,alm,comodidade/servizo = esmola
amenity,ambulance_station,Servizo/Amenidades = Estación de ambulancias
amenity,animal_boarding,comodidade/servizo = aloxamento_de_mascotas
amenity,animal_breeding,comodidade/servizo = cría de animais
amenity,animal_effluent_disposal,Servizo/Amenidades = Eliminación de efluentes animais
amenity,animal_hitch,Servizo/Amenidades = Aluguer de animais
amenity,animal_shelter,comodidade/servizo = refuxio de animais
amenity,animal_training,comodidade/servizo = adestramento de animais
amenity,archive,comodidade/servizo = arquivo
amenity,arts_centre,comodidade/servizo = centro_das_artes
amenity,artwork,Servizo/comforto = obra de arte
amenity,atm,Servizo/Amenidade = Caixeiro automático
amenity,audiologist,comodidade/servizo = audiólogo
amenity,avalanche_transceiver,comodidade/servizo = transceptor de avalanchas
amenity,baby_hatch,comodidade/servizo = escotilla para bebés
amenity,baking_oven,comodidade/servizo = forno de cociña
amenity,bank,"Un banco é unha institución financeira que ofrece servizos como depósitos, préstamos, investimentos e asesoramento financeiro | amenity/service = banco"
amenity,bar,comodidade/servizo = bar
amenity,bbq,comodidade/servizo = churrasco
amenity,bear_box,comodidade/servizo = caixa de osos
amenity,bench,comodidade/servizo = banco para sentarse
amenity,bicycle_library,comodidade/servizo = biblioteca de bicicletas
amenity,bicycle_parking,Servizo/Amenidades = Aparcadoiro para bicicletas
amenity,bicycle_rental,comodidade/servizo = alugueiro de bicicletas
amenity,bicycle_repair_station,comodidade/servizo = estación_de_reparación_de_bicicletas
amenity,bicycle_trailer_sharing,Servizo/servizo = uso compartido de remolques de bicicletas
amenity,biergarten,comodidade/servizo = xardín cervexeiro
amenity,bike_parking,Servizo/Amenidades = Aparcadoiro para bicicletas
amenity,bikeshed,Servizo/Amenidades = Aparcadoiro para bicicletas
amenity,binoculars,comodidade/servizo = prismáticos
amenity,bird_bath,comodidade/servizo = baño para paxaros
amenity,blood_bank,Servizo/Amenidades = Banco de sangue
amenity,boat_rental,comodidade/servizo = aluguer_de_embarcacións
amenity,boat_sharing,comodidade/servizo = barco compartido
amenity,boat_storage,comodidade/servizo = almacenamento_nave
amenity,body_scale,Servizo/comforto = escala corporal
amenity,brothel,comodidade/servizo = prostíbulo
amenity,bts,Servizo/Amenidades = BTS
amenity,buggy_parking,Servizo/Amenidades = Aparcadoiro para coches
amenity,building_yard,comodidade/servizo = patio de obras
amenity,bureau_de_change,Servizo/servizo = cambio de moeda
amenity,bus_station,Servizo/Amenidades = Estación de autobuses
amenity,bus_stop,Servizo/Amenidade = Parada de autobús
amenity,cafe,"Unha cafetería é un pequeno restaurante ou cafetería que serve comidas lixeiras, aperitivos, café e outras bebidas | servizo/servizo = cafetería"
amenity,canoe_hire,comodidade/servizo = aluguer de canoa
amenity,canteen,comodidade/servizo = cantina
amenity,car_pooling,comodidade/servizo = compartir_coche
amenity,car_rental,Servizo/Amenidades = Aluguer de coches
amenity,car_repair,Servizo/Amenidade = Reparación de automóbiles
amenity,car_sharing,Servizo/Amenidades = Uso compartido de coches
amenity,car_wash,comodidade/servizo = lavado de coches
amenity,carpet_washing,servizo/servizo = limpeza de alfombras
amenity,carwash,comodidade/servizo = lavado de coches
amenity,casino,comodidade/servizo = casino
amenity,chair,comodidade/servizo = cadeira
amenity,changing_room,comodidade/servizo = vestiario
amenity,charging_station,Servizo/Amenidade = Estación de carga
amenity,charging_station/Tesla_Motors,Servizo/Amenidades = Estación de carga/Tesla Motors
amenity,checkpoint,Servizo/comfort = control
amenity,childcare,comodidade/servizo = coidado de nenos
amenity,cinema,comodidade/servizo = cine
amenity,citymap_post,servizos/servizos = publicación de mapas da cidade
amenity,clinic,comodidade/servizo = clínica
amenity,cloakroom,comodidade/servizo = vestiario
amenity,clock,comodidade/servizo = reloxo
amenity,clothes_dryer,comodidade/servizo = secadora de roupa
amenity,club,comodidade/servizo = club
amenity,clubhouse,comodidade/servizo = casa club
amenity,coast_guard,comodidade/servizo = garda costeira
amenity,coast_radar_station,Servizo/Amenidade = Estación de radar costeira
amenity,college,Servizo/comforto = compañeiro/a
amenity,community_centre,comodidade/servizo = Centro comunitario
amenity,compressed_air,comodidade/servizo = aire comprimido
amenity,concert_hall,comodidade/servizo = sala de concertos
amenity,concession_stand,servizo/comida = posto de comida
amenity,conference_centre,comodidade/servizo = centro de conferencias
amenity,consulate,comodidade/servizo = consulado
amenity,convention_centre,Servizo/Amenidades = Centro de convencións
amenity,courier,Servizo/comida = mensaxeiro
amenity,courthouse,comodidade/servizo = xulgado
amenity,coworking_space,Servizo/servizo = espazo de cotraballo
amenity,crematorium,comodidade/servizo = crematorio
amenity,crematory,comodidade/servizo = crematorio
amenity,crucifix,comodidade/servizo = crucifixo
amenity,crypt,comodidade/servizo = cripta
amenity,culture_center,Servizo/Amenidades = Centro Cultural
amenity,customs,comodidade/servizo = costumes
amenity,dancing_school,comodidade/servizo = escola de baile
amenity,dead_pub,Servizo/comida = taberna morta
amenity,dentist,comodidade/servizo = dentista
amenity,device_charging_station,Servizo/Amenidade = Estación de carga de dispositivos
amenity,disused,comodidade/servizo = obsoleto
amenity,dive_centre,servizos/servizo = centro_de_mergullo
amenity,doctor,comodidade/servizo = médico
amenity,doctors,Servizo/servizo = médicos
amenity,dog_bin,Servizo/Amenidades = Papeleira para excrementos de cans
amenity,dog_parking,Servizo/Amenidades = Aparcadoiro para cans
amenity,dog_toilet,comodidade/servizo = baño para cans
amenity,dog_waste_bin,Servizo/Amenidades = Papeleira para excrementos de cans
amenity,dojo,comodidade/servizo = dojo
amenity,donation,comodidade/servizo = doazón
amenity,dormitory,comodidade/servizo = dormitorio
amenity,dressing_room,comodidade/servizo = Vestiario
amenity,drinking_water,comodidade/servizo = auga potable
amenity,driver_training,comodidade/servizo = formación_de_condutores
amenity,driver_training_area,Servizo/Amenidades = Área de formación de condutores
amenity,driving_school,Servizo/Amenidades = Autoescola
amenity,dryer,comodidade/servizo = secadora
amenity,education,Servizo/comfort = educación
amenity,embassy,comodidade/servizo = embaixada
amenity,emergency_phone,Servizo/Amenidade = Teléfono de emerxencia
amenity,emergency_service,servizo/servizo = servizo de emerxencia
amenity,ev_charging,comodidade/servizo = cargo por vehículo eléctrico
amenity,events_centre,servizo/servizo = centro de eventos
amenity,events_venue,servizos/servizo = lugar_de_eventos
amenity,exercise_point,comodidade/servizo = punto de exercicio
amenity,exhibition_centre,comodidade/servizo = centro de exposicións
amenity,fab_lab,Servizo/Amenidades = Laboratorio fabuloso
amenity,fast_food,Servizo/servizo = comida rápida
amenity,feeding_place,comodidade/servizo = lugar_de_comida
amenity,ferry_terminal,Servizo/servizo = terminal de transbordadores
amenity,festival_grounds,servizos/servizos = recinto do festival
amenity,financial_advice,Servizo/servizo = asesoramento financeiro
amenity,fire_hydrant,comodidade/servizo = boca de incendios
amenity,fire_station,servizo/servizo = estación de bombeiros
amenity,first_aid,comodidade/servizo = primeiros auxilios
amenity,firstaid,servizo/comforto = primeiros auxilios
amenity,fish_spa,comodidade/servizo = balneario de peixes
amenity,fitness_station,comodidade/servizo = estación de fitness
amenity,flight_school,comodidade/servizo = escola de voo
amenity,food_court,Servizo/Amenidades = Zona de comidas
amenity,food_sharing,comodidade/servizo = compartir comida
amenity,foot_shower,comodidade/servizo = ducha para os pés
amenity,fountain,comodidade/servizo = fonte
amenity,freeshop,Servizo/servizo = compra gratuíta
amenity,fridge,comodidade/servizo = frigorífico
amenity,fuel,Servizo/servizo = combustible
amenity,funeral_hall,comodidade/servizo = sala_funeraria
amenity,gambling,comodidade/servizo = xogo
amenity,game_feeding,comodidade/servizo = comida_de_caza
amenity,garages,comodidades/servizos = garaxes
amenity,give_box,Servizo/servizo = darlle ao caixeiro/a
amenity,grave_yard,servizo/servizo = cemiterio
amenity,grit_bin,comodidade/servizo = cubo_de_azul
amenity,gym,comodidade/servizo = ximnasia
amenity,gym_(Don't_use),comodidade/servizo = ximnasio (non usar)
amenity,health_post,servizos/servizo = estación_de_saúde
amenity,hitching_post,comodidade/servizo = poste de gancho
amenity,hookah_lounge,comodidade/servizo = salón de narguiles
amenity,horse_parking,comodidade/servizo = aparcadoiro para cabalos
amenity,hospice,comodidade/servizo = hospicio
amenity,hospital,"Un hospital é un centro médico que ofrece atención médica integral, tratamento de emerxencia e servizos médicos especializados | comodidade/servizo = hospital"
amenity,hunting_stand,comodidade/servizo = posto_de_caza
amenity,hydrant,comodidade/servizo = saída de auga
amenity,ice_cream,comodidade/servizo = xeado
amenity,internet_cafe,Servizo/Amenidades = Cibercafé
amenity,jobcentre,comodidade/servizo = lugar de traballo
amenity,juice_bar,Servizo/Amenidades = Bar de zumes
amenity,karaoke_box,comodidade/servizo = caixa_de_karaoke
amenity,kick-scooter_rental,comodidade/servizo = aluguer de scooter
amenity,kindergarten,servizos/servizos = xardín de infancia
amenity,kiosk,comodidade/servizo = quiosco
amenity,kitchen,comodidade/servizo = cociña
amenity,kneipp_water_cure,comodidade/servizo = cura_de_auga_kneipp
amenity,Kneippbecken,Amenidades/Servizo = Kneippbecken
amenity,language_school,Servizo/servizo = escola de idiomas
amenity,lavoir,comodidade/servizo = lavoir
amenity,letter_box,servizo/servizo = buzón
amenity,library,servizo/servizo = biblioteca
amenity,library_dropoff,Servizo/servizo = entrega á biblioteca
amenity,life_ring,comodidade/servizo = anel da vida
amenity,lifeboat_station,comodidade/servizo = estación de botes salvavidas
amenity,loading_dock,comodidade/servizo = peirao_de_carga
amenity,locker,comodidade/servizo = armario
amenity,lost_property_office,comodidade/servizo = oficina de obxectos perdidos
amenity,lounger,comodidade/servizo = preguiceiro
amenity,love_hotel,"Servizo/Amenidades = Bordel, habitacións por hora"
amenity,luggage_locker,comodidade/servizo = consigna de equipaxes
amenity,mailroom,comodidade/servizo = sala de correo
amenity,marae,comodidade/servizo = marae
amenity,marketplace,Servizo/comfort = mercado
amenity,meditation_centre,comodidade/servizo = centro de meditación
amenity,microwave,Servizo/servizo = microondas
amenity,milk_dispenser,comodidade/servizo = dispensador de leite
amenity,mist_spraying_cooler,Servizo/Amenidade = Refrixerador de pulverización de néboa
amenity,mobile_library,Servizo/servizo = biblioteca móbil
amenity,mobile_money_agent,Servizo/Amenidade = Axente de diñeiro móbil
amenity,monastery,comodidade/servizo = mosteiro
amenity,money_transfer,Servizo/servizo = transferencia de diñeiro
amenity,mortuary,comodidade/servizo = mortuorio
amenity,motorcycle_parking,comodidade/servizo = aparcadoiro_de_motocicletas
amenity,motorcycle_rental,Servizo/Amenidades = Aluguer de motocicletas
amenity,motorcycle_taxi,Servizo/servizo = mototaxi
amenity,mtb_school,comodidade/servizo = escola de BTT
amenity,music_school,Servizo/Amenidades = Escola de Música
amenity,music_venue,servizo/servizo = sala de música
amenity,nightclub,Servizo/Servizo = Club nocturno/Discoteca
amenity,nursery,comodidade/servizo = gardería
amenity,nursing_home,comodidade/servizo = residencia de anciáns
amenity,office,comodidade/servizo = oficina
amenity,osmica,comodidade/servizo = ósmico
amenity,outfitter,comodidade/servizo = camiseiro/a
amenity,parcel_locker,comodidade/servizo = paquete_de_correo_de_correo
amenity,parcel_lockers,Servizo/servizo = armarios para paquetes
amenity,parcel_postbox,Servizo/Amenidade = Caixa de entrega de paquetes
amenity,park,servizos/servizo = parque
amenity,parking,"Un aparcadoiro proporciona espazos designados para que aparquen os vehículos, xa sexa para uso a curto ou longo prazo | comodidade/servizo = aparcadoiro"
amenity,parking_entrance,comodidade/servizo = entrada_de_aparcadoiro
amenity,parking_space,Servizo/servizo = praza de aparcamento
amenity,parkink,servizos/servizo = parque
amenity,payment_centre,servizo/servizo = centro_de_pago
amenity,payment_terminal,Servizo/Amenidade = Terminal de pago
amenity,pharmacy,Unha farmacia é un centro sanitario onde se dispensan medicamentos e se ofrece asesoramento farmacéutico | servizo/servizo = farmacia
amenity,photo_booth,comodidade/servizo = cabina de fotos
amenity,piano,comodidade/servizo = piano
amenity,place_of_mourning,comodidade/servizo = lugar de loito
amenity,place_of_worship,comodidade/servizo = lugar de culto
amenity,planetarium,comodidade/servizo = planetario
amenity,po_box,Servizo/servizo = apartado de correos
amenity,police,Servizo/Amenidades = Policía
amenity,polling_station,Servizo/servizo = centro de votación
amenity,post_box,servizo/servizo = buzón
amenity,post_depot,comodidade/servizo = depósito_posterior
amenity,post_office,Servizo/Amenidade = Oficina de Correos
amenity,prep_school,comodidade/servizo = instituto
amenity,preschool,servizos/servizos = escola infantil
amenity,printer,comodidade/servizo = impresora
amenity,prison,comodidade/servizo = prisión
amenity,prison_camp,comodidade/servizo = campo de prisioneiros
amenity,proposed,comodidade/servizo = proposto
amenity,pub,servizo/comida = pub
amenity,public_bath,Servizo/Amenidades = Baño público
amenity,public_bookcase,comodidade/servizo = estantería_pública
amenity,public_building,servizos/servizo = edificio público
amenity,ranger_station,comodidade/servizo = estación de garda forestal
amenity,reception_desk,comodidade/servizo = recepción
amenity,recycling,comodidade/servizo = reciclaxe
amenity,recycling/Quality_Assurance,Servizo/Amenidades = Reciclaxe/Garantía de calidade
amenity,refugee_housing,comodidade/servizo = vivenda para refuxiados
amenity,refugee_site,comodidade/servizo = sitio_de_refuxiados
amenity,register_office,Servizo/Amenidade = Rexistro Civil
amenity,rehearsal_studio,Servizo/servizo = estudio de ensaio
amenity,relay_box,Servizo/servizo = caixa de retransmisión
amenity,rescue_box,comodidade/servizo = caixa de rescate
amenity,rescue_station,comodidade/servizo = estación de rescate
amenity,research_institute,Servizo/Amenidades = Instituto de Investigación
amenity,restaurant,Un restaurante é un establecemento comercial onde a xente paga por comida e bebidas preparadas nun ambiente de comedor | amenity/service = restaurante
amenity,retirement_home,comodidade/servizo = residencia de anciáns
amenity,rv_storage,comodidade/servizo = almacenamento de vehículos recreativos
amenity,sailing_school,comodidade/servizo = escola de vela
amenity,sanatorium,comodidade/servizo = sanatorio
amenity,sanitary_dump_station,comodidade/servizo = estación_de_alta_sanitaria
amenity,sauna,comodidade/servizo = sauna
amenity,sceptic_tank,comodidade/servizo = tanque escéptico
amenity,school,Unha escola é unha institución educativa onde estudantes de diversas idades aprenden materias académicas e prácticas | comodidade/servizo = escola
amenity,scooter_rental,Servizo/Amenidades = Aluguer de scooters
amenity,seat,comodidade/servizo = asento
amenity,security_booth,comodidade/servizo = cabina de seguridade
amenity,septic_tank,servizo/comforto = fosa séptica
amenity,shelter,comodidade/servizo = refuxio
amenity,shop,comodidade/servizo = tenda
amenity,shower,comodidade/servizo = ducha
amenity,ski_rental,comodidade/servizo = aluguer de esquís
amenity,ski_school,Servizo/Amenidades = Escola de esquí
amenity,smoking_area,Servizo/Amenidades = Zona de fumadores
amenity,snow_removal_station,servizo/servizo = estación de retirada de neve
amenity,social_centre,servizos/servizo = centro_social
amenity,social_club,Servizo/Amenidades = Club social
amenity,social_facility,comodidade/servizo = instalacións_sociais
amenity,spa,comodidade/servizo = spa
amenity,sport_school,comodidade/servizo = escola deportiva
amenity,stables,comodidade/servizo = estábulos
amenity,stage,comodidade/servizo = escenario
amenity,stool,comodidade/servizo = feces
amenity,street_lamp,comodidade/servizo = farola
amenity,street_light,Servizo/Amenidades = Farola
amenity,stripclub,comodidade/servizo = club de striptease
amenity,stroller_parking,Servizo/Amenidade = Carro de estacionamento
amenity,student_accommodation,Servizo/servizo = aloxamento para estudantes
amenity,studio,comodidade/servizo = estudo
amenity,surf_school,comodidade/servizo = escola de surf
amenity,swimming_pool,comodidade/servizo = piscina
amenity,swimming_school,servizo/servizo = escola de natación
amenity,swingerclub,comodidades/servizo = club de intercambio de parellas
amenity,table,comodidade/servizo = mesa
amenity,taxi,Servizo/servizo = taxi
amenity,taxi_point,Servizo/Amenidade = Parada de taxis
amenity,telephone,comodidade/servizo = teléfono
amenity,television,comodidade/servizo = televisión
amenity,theatre,comodidade/servizo = teatro
amenity,ticket_booth,comodidade/servizo = billeteira
amenity,ticket_validator,Servizo/Amenidade = Validador de billetes
amenity,toilet,comodidade/servizo = aseo
amenity,toilets,comodidades/servizos = baños
