key,value,définition
addr:ward,Mbagala,addr:ward=Mbagala
addr:ward,Mbagala kuu,addr:ward=Mbagala kuu
addr:ward,Mbagala␣kuu,addr:ward=Mbagala ␣ kuu
addr.source:housenumber,survey,addr.source:numéro_de_maison=enquête
addr.source:street,survey,addr.source:street=survey
admin_level,1,niveau_admin=1
admin_level,2,niveau_admin=2
admin_level,aboriginal_land,niveau_admin=terre_aborigène
admin_type:PH,barangay,admin_type:PH=barangay
advertising,billboard,publicité = panneau d'affichage
advertising,board,publicité=panneau
advertising,column,publicité=colonne
advertising,flag,publicité=drapeau
advertising,funding_sign,publicité=signal_de_financement
advertising,poster_box,publicité=boîte_à_affiches
advertising,screen,publicité = écran
advertising,sculpture,publicité = sculpture
advertising,sign,publicité=signal
advertising,tarp,publicité = bâche
advertising,totem,publicité=totem
advertising,wall_painting,publicité=peinture_murale
aerialway,cable_car,voie aérienne=téléphérique
aerialway,canopy,voie aérienne = canopée
aerialway,chair_lift,télésiège
aerialway,drag_lift,voie aérienne = halage
aerialway,gondola,téléphérique = télécabine
aerialway,goods,voie aérienne = marchandises
aerialway,j-bar,voie aérienne=barre en J
aerialway,magic_carpet,voie aérienne=tapis_magique
aerialway,mixed_lift,voie aérienne=ascenseur mixte
aerialway,platter,voie aérienne = plateau
aerialway,pylon,voie aérienne = pylône
aerialway,rope_tow,voie aérienne = remorquage par corde
aerialway,ropetow,voie aérienne = câble
aerialway,station,voie aérienne = station
aerialway,t-bar,voie aérienne = barre en T
aerialway,zip_line,voie aérienne=tyrolienne
aerialway:drag_lift,j-bar,passerelle aérienne : haubanage = barre en J
aerialway:drag_lift,platter,voie aérienne : élévateur à traîneau = plateau
aerialway:drag_lift,t-bar,passerelle aérienne : élévateur à haubans = barre en T
aerodrome:type,airfield,aérodrome:type=terrain d'aviation
aerodrome:type,gliding,aérodrome:type=planeur
aerodrome:type,international,aérodrome:type=international
aerodrome:type,military,aérodrome:type=militaire
aerodrome:type,private,aérodrome:type=privé
aerodrome:type,regional,aérodrome:type=régional
aerospace:product,robot,aérospatiale:produit=robot
aerospace:product,rocket,aérospatiale : produit = fusée
aerospace:product,spacecraft_propulsion,aérospatiale : produit = propulsion des engins spatiaux
aeroway,aerodrome,voie aérodrome
aeroway,aircraft_crossing,voie aérienne = passage à niveau
aeroway,airport,voie aérodynamique = aéroport
aeroway,airstrip,piste d'atterrissage
aeroway,airtanker_base,voie aérodynamique=base de bombardier d'eau
aeroway,apron,voie aérodynamique = tablier
aeroway,arresting_gear,voie aérodynamique=équipement d'arrêt
aeroway,fuel,voie aérienne = carburant
aeroway,gate,voie aérodynamique = porte
aeroway,gate/Archived_proposal,voie aérodynamique=porte/Proposition_archivée
aeroway,hangar,voie aérodynamique = hangar
aeroway,helipad,aérodrome = héliport
aeroway,heliport,aérodrome = héliport
aeroway,highway_strip,voie aérienne = bande de chemin de fer
aeroway,holding_position,voie aérodynamique=position_de_maintien
aeroway,holding_position_line,voie aérodynamique=ligne de position de maintien
aeroway,jet_bridge,voie aérodynamique=pont_jet
aeroway,landingpad,voie aérodynamique = piste d'atterrissage
aeroway,launch_complex,voie aérodynamique=complexe_de_lancement
aeroway,launchpad,voie aérodynamique = rampe de lancement
aeroway,marking,voie aérodynamique = marquage
aeroway,navigationaid,voie aérienne = aide à la navigation
aeroway,papi,voie aérodynamique=papi
aeroway,parking_position,voie aérodynamique=position_de_parking
aeroway,runway,piste d'atterrissage
aeroway,spaceport,voie aérospatiale = spatioport
aeroway,stopway,voie aérodynamique = voie d'arrêt
aeroway,taxilane,voie aérodynamique = taxi
aeroway,taxiway,voie aérodynamique = voie de taxi
aeroway,terminal,voie aérodynamique = terminal
aeroway,tower,voie aérodynamique = tour
aeroway,windsock,voie aérodynamique = manche à air
age,mature,âge=mature
age,semi-mature,âge=semi-mature
age,young,âge = jeune
agricultural,no,agricole = non
air_conditioning,no,climatisation=non
airmark,beacon,marque aérienne=balise
ale_supply,limited,ale_supply=limité
allotments,plot,parcelles de jardins familiaux
alt_name,Kentucky Fried Chicken,alt_name=Poulet frit du Kentucky
amenity,administration,commodité = administration
amenity,advertising,commodité = publicité
amenity,air_filling,commodité=remplissage_d'air
amenity,alm,commodité=aulne
amenity,ambulance_station,commodité=station_ambulance
amenity,animal_boarding,commodité=pension pour animaux
amenity,animal_breeding,commodité=élevage_animalier
amenity,animal_effluent_disposal,commodité=élimination des effluents animaux
amenity,animal_hitch,commodité=attelage_animal
amenity,animal_shelter,commodité=refuge pour animaux
amenity,animal_training,commodité=entraînement_animalier
amenity,archive,agrément=archive
amenity,arts_centre,centre d'arts
amenity,artwork,commodité = œuvre d'art
amenity,atm,commodité=distributeur automatique
amenity,audiologist,commodité = audiologiste
amenity,avalanche_transceiver,équipement=émetteur-récepteur d'avalanche
amenity,baby_hatch,commodité=baby_hatch
amenity,baking_oven,commodité=four à pâtisserie
amenity,bank,commodité=banque
amenity,bar,commodité=bar
amenity,bbq,commodité = barbecue
amenity,bear_box,commodité=boîte à ours
amenity,bench,commodité=banc
amenity,bicycle_library,commodité=bibliothèque_vélos
amenity,bicycle_parking,commodité=parking à vélos
amenity,bicycle_rental,commodité=location_de_vélos
amenity,bicycle_repair_station,commodité=station_de_réparation_de_vélos
amenity,bicycle_trailer_sharing,commodité=partage_de_remorques_à_vélos
amenity,biergarten,commodité=jardin à bière
amenity,bike_parking,commodité=parking_vélos
amenity,bikeshed,équipement=abri à vélos
amenity,binoculars,équipement = jumelles
amenity,bird_bath,commodité=bain_d'oiseaux
amenity,blood_bank,commodité=banque_de_sang
amenity,boat_rental,commodité=location_de_bateaux
amenity,boat_sharing,commodité=partage_de_bateaux
amenity,boat_storage,commodité=stockage de bateaux
amenity,body_scale,commodité=échelle corporelle
amenity,brothel,commodité=bordel
amenity,bts,commodité=bts
amenity,buggy_parking,commodité=parking_voitures
amenity,building_yard,aménagement=cour_de_bâtiment
amenity,bureau_de_change,amenity=bureau_de_change
amenity,bus_station,commodité=gare_bus
amenity,bus_stop,commodité=arrêt_de_bus
amenity,cafe,commodité = café
amenity,canoe_hire,commodité=location_canoë
amenity,canteen,commodité = cantine
amenity,car_pooling,commodité=covoiturage
amenity,car_rental,commodité=location_de_voiture
amenity,car_repair,commodité=réparation_auto
amenity,car_sharing,commodité=autopartage
amenity,car_wash,commodité=lavage auto
amenity,carpet_washing,commodité=lavage_de_tapis
amenity,carwash,service = lavage de voiture
amenity,casino,commodité = casino
amenity,chair,commodité = chaise
amenity,changing_room,commodité=vestiaire
amenity,charging_station,commodité=station de recharge
amenity,charging_station/Tesla_Motors,commodité=station_de_recharge/Tesla_Motors
amenity,checkpoint,commodité=point de contrôle
amenity,childcare,commodité = garde d'enfants
amenity,cinema,commodité = cinéma
amenity,citymap_post,amenity=citymap_post
amenity,clinic,commodité=clinique
amenity,cloakroom,commodité = vestiaire
amenity,clock,commodité = horloge
amenity,clothes_dryer,commodité=sèche-linge
amenity,club,commodité=club
amenity,clubhouse,commodité = club-house
amenity,coast_guard,commodité=garde-côte
amenity,coast_radar_station,commodité=station_radar_côtière
amenity,college,commodité = collège
amenity,community_centre,commodité=centre_communautaire
amenity,compressed_air,commodité=air comprimé
amenity,concert_hall,commodité=salle_de_concert
amenity,concession_stand,commodité=stand_de_concession
amenity,conference_centre,commodité=centre_de_conférence
amenity,consulate,commodité = consulat
amenity,convention_centre,aménagement=centre_de_convention
amenity,courier,commodité=coursier
amenity,courthouse,commodité=palais de justice
amenity,coworking_space,commodité=espace de coworking
amenity,crematorium,commodité = crématorium
amenity,crematory,commodité = crématorium
amenity,crucifix,commodité=crucifix
amenity,crypt,commodité=crypt
amenity,culture_center,centre culturel
amenity,customs,commodité=coutumes
amenity,dancing_school,commodité=école_de_danse
amenity,dead_pub,commodité=pub_mort
amenity,dentist,commodité = dentiste
amenity,device_charging_station,commodité=station_de_recharge_d'appareils
amenity,disused,commodité=désaffectée
amenity,dive_centre,centre de plongée
amenity,doctor,commodité=médecin
amenity,doctors,commodité = médecins
amenity,dog_bin,commodité=poubelle à chiens
amenity,dog_parking,commodité=parking_pour_chiens
amenity,dog_toilet,commodité=toilettes pour chiens
amenity,dog_waste_bin,commodité=poubelle à déjections canines
amenity,dojo,commodité=dojo
amenity,donation,commodité = don
amenity,dormitory,commodité = dortoir
amenity,dressing_room,commodité=vestiaire
amenity,drinking_water,commodité=eau potable
amenity,driver_training,commodité=formation_de_conducteurs
amenity,driver_training_area,équipement=zone_de_formation_des_conducteurs
amenity,driving_school,commodité=auto-école
amenity,dryer,équipement = sèche-linge
amenity,education,commodité = éducation
amenity,embassy,commodité=ambassade
amenity,emergency_phone,commodité=téléphone_d'urgence
amenity,emergency_service,commodité=service_d'urgence
amenity,ev_charging,commodité=recharge de véhicules électriques
amenity,events_centre,commodité=centre_événements
amenity,events_venue,commodité=lieu_événements
amenity,exercise_point,commodité=point_d'exercice
amenity,exhibition_centre,commodité=centre_d'exposition
amenity,fab_lab,commodité=fab_lab
amenity,fast_food,commodité=restauration rapide
amenity,feeding_place,agrément=lieu_d'alimentation
amenity,ferry_terminal,commodité=terminal_ferry
amenity,festival_grounds,commodité=terrain_du_festival
amenity,financial_advice,commodité=conseils_financiers
amenity,fire_hydrant,commodité=borne_incendie
amenity,fire_station,commodité=station_de_pompiers
amenity,first_aid,commodité=premiers soins
amenity,firstaid,commodité = premiers soins
amenity,fish_spa,commodité=spa_de_poissons
amenity,fitness_station,commodité=station de fitness
amenity,flight_school,commodité=école_de_pilotage
amenity,food_court,commodité=aire de restauration
amenity,food_sharing,commodité=partage_de_nourriture
amenity,foot_shower,commodité=douche_pieds
amenity,fountain,commodité = fontaine
amenity,freeshop,commodité=magasin gratuit
amenity,fridge,équipement = réfrigérateur
amenity,fuel,commodité = carburant
amenity,funeral_hall,commodité=salle_funéraire
amenity,gambling,commodité = jeu
amenity,game_feeding,commodité=nourrissage_du_gibier
amenity,garages,commodité = garages
amenity,give_box,agrément=boîte à dons
amenity,grave_yard,aménagement=cimetière
amenity,grit_bin,commodité=poubelle à gravier
amenity,gym,équipement = salle de sport
amenity,gym_(Don't_use),commodité=salle de sport_(Ne_pas_utiliser)
amenity,health_post,commodité=poste_santé
amenity,hitching_post,commodité=poteau d'attelage
amenity,hookah_lounge,commodité=salon_à_narguilé
amenity,horse_parking,commodité=parking_pour_chevaux
amenity,hospice,commodité=hospice
amenity,hospital,commodité = hôpital
amenity,hunting_stand,commodité=mirador de chasse
amenity,hydrant,équipement = borne d'incendie
amenity,ice_cream,commodité=glace
amenity,internet_cafe,commodité=café_internet
amenity,jobcentre,commodité=centre d'emploi
amenity,juice_bar,commodité=bar à jus
amenity,karaoke_box,commodité=boîte_karaoké
amenity,kick-scooter_rental,commodité=location de trottinette
amenity,kindergarten,commodité=jardin d'enfants
amenity,kiosk,commodité=kiosque
amenity,kitchen,commodité=cuisine
amenity,kneipp_water_cure,commodité=kneipp_water_cure
amenity,Kneippbecken,commodité=Kneippbecken
amenity,language_school,commodité=école_de_langues
amenity,lavoir,agrément=lavoir
amenity,letter_box,commodité=boîte_aux_lettres
amenity,library,commodité = bibliothèque
amenity,library_dropoff,commodité=dépôt_bibliothèque
amenity,life_ring,agrément=anneau_de_vie
amenity,lifeboat_station,commodité=station_de_canots_de_sauvetage
amenity,loading_dock,aménagement=quai_de_chargement
amenity,locker,commodité=casier
amenity,lost_property_office,commodité=bureau_immobilier_perdu
amenity,lounger,commodité = chaise longue
amenity,love_hotel,commodité=love_hotel
amenity,luggage_locker,commodité=casier à bagages
amenity,mailroom,commodité=salle de courrier
amenity,marae,commodité=marae
amenity,marketplace,commodité=marché
amenity,meditation_centre,commodité=centre_de_méditation
amenity,microwave,équipement = micro-ondes
amenity,milk_dispenser,commodité=distributeur_de_lait
amenity,mist_spraying_cooler,commodité=refroidisseur à brumisation
amenity,mobile_library,commodité=bibliothèque_mobile
amenity,mobile_money_agent,commodité=agent_de_transfert_d'argent_mobile
amenity,monastery,commodité = monastère
amenity,money_transfer,commodité=transfert_d'argent
amenity,mortuary,commodité = morgue
amenity,motorcycle_parking,commodité=parking_moto
amenity,motorcycle_rental,commodité=location_moto
amenity,motorcycle_taxi,commodité=taxi_moto
amenity,mtb_school,commodité=école_de_vtt
amenity,music_school,commodité=école_de_musique
amenity,music_venue,commodité=salle de concert
amenity,nightclub,commodité = boîte de nuit
amenity,nursery,commodité = crèche
amenity,nursing_home,commodité=maison_de_retraite
amenity,office,commodité=bureau
amenity,osmica,commodité=osmique
amenity,outfitter,équipement
amenity,parcel_locker,commodité=casier à colis
amenity,parcel_lockers,commodité=casiers à colis
amenity,parcel_postbox,commodité=boîte_postale
amenity,park,commodité=parc
amenity,parking,commodité = parking
amenity,parking_entrance,commodité=entrée_parking
amenity,parking_space,commodité=place_de_parking
amenity,parkink,commodité=parking
amenity,payment_centre,commodité=centre_de_paiement
amenity,payment_terminal,commodité=terminal_de_paiement
amenity,pharmacy,commodité = pharmacie
amenity,photo_booth,commodité=photobooth
amenity,piano,équipement=piano
amenity,place_of_mourning,lieu de deuil
amenity,place_of_worship,commodité=lieu_de_culte
amenity,planetarium,équipement = planétarium
amenity,po_box,commodité=boîte postale
amenity,police,commodité = police
amenity,polling_station,commodité=station_de_sondage
amenity,post_box,commodité=boîte_postale
amenity,post_depot,commodité=dépôt_postal
amenity,post_office,commodité=bureau_postal
amenity,prep_school,commodité=école préparatoire
amenity,preschool,commodité = école maternelle
amenity,printer,commodité=imprimante
amenity,prison,commodité = prison
amenity,prison_camp,commodité=camp_prison
amenity,proposed,commodité=proposée
amenity,pub,commodité=pub
amenity,public_bath,commodité=bain_public
amenity,public_bookcase,commodité=bibliothèque_publique
amenity,public_building,équipement=bâtiment_public
amenity,ranger_station,commodité=station de garde forestier
amenity,reception_desk,commodité=réception
amenity,recycling,commodité = recyclage
amenity,recycling/Quality_Assurance,commodité=recyclage/Assurance_qualité
amenity,refugee_housing,commodité=logement_pour_réfugiés
amenity,refugee_site,aménagement=site_de_réfugiés
amenity,register_office,commodité=bureau_registraire
amenity,rehearsal_studio,équipement=studio_de_répétition
amenity,relay_box,commodité=boîte_relais
amenity,rescue_box,commodité=boîte_de_sauvetage
amenity,rescue_station,commodité=station_de_secours
amenity,research_institute,commodité=institut_de_recherche
amenity,restaurant,commodité=restaurant
amenity,retirement_home,commodité=maison_de_retraite
amenity,rv_storage,commodité=stockage de camping-car
amenity,sailing_school,commodité=école_de_voile
amenity,sanatorium,commodité=sanatorium
amenity,sanitary_dump_station,commodité=station de vidange sanitaire
amenity,sauna,équipement=sauna
amenity,sceptic_tank,commodité=réservoir_sceptique
amenity,school,commodité=école
amenity,scooter_rental,commodité=location_de_scooters
amenity,seat,commodité = siège
amenity,security_booth,commodité=cabine_de_sécurité
amenity,septic_tank,commodité=fosse septique
amenity,shelter,commodité = abri
amenity,shop,commodité=magasin
amenity,shower,commodité = douche
amenity,ski_rental,commodité=location_de_skis
amenity,ski_school,commodité=école_de_ski
amenity,smoking_area,commodité=zone_fumeurs
amenity,snow_removal_station,commodité=station_de_déneigement
amenity,social_centre,centre social
amenity,social_club,commodité=club_social
amenity,social_facility,équipement=installation_sociale
amenity,spa,commodité = spa
amenity,sport_school,équipement=école_sportive
amenity,stables,commodité = écuries
amenity,stage,commodité=étape
amenity,stool,commodité=tabouret
amenity,street_lamp,commodité=lampadaire
amenity,street_light,commodité=éclairage public
amenity,stripclub,commodité=club de strip-tease
amenity,stroller_parking,commodité=parking_poussette
amenity,student_accommodation,commodité=logement_étudiant
amenity,studio,commodité=studio
amenity,surf_school,commodité=école_de_surf
amenity,swimming_pool,équipement=piscine
amenity,swimming_school,équipement=école_de_natation
amenity,swingerclub,commodité=club échangiste
amenity,table,commodité=table
amenity,taxi,commodité=taxi
amenity,taxi_point,commodité=point_taxi
amenity,telephone,commodité = téléphone
amenity,television,commodité = télévision
amenity,theatre,commodité = théâtre
amenity,ticket_booth,commodité=guichet_guichet
amenity,ticket_validator,commodité=validateur_de_ticket
amenity,toilet,commodité = toilettes
amenity,toilets,commodité = toilettes
amenity,tourist_bus_parking,commodité=parking_pour_bus_touristiques
amenity,townhall,commodité=mairie
amenity,toy_library,commodité=bibliothèque_de_jouets
amenity,trade_school,commodité=école_de_métiers
amenity,traffic_park,aménagement=parc_de_circulation
amenity,trailer_park,commodité=parc_de_caravanes
amenity,training,commodité = formation
amenity,trolley_bay,commodité=baie_de_tramway
amenity,tuition,commodité = frais de scolarité
amenity,university,commodité = université
amenity,vacuum_cleaner,commodité=aspirateur
amenity,vehicle_inspection,commodité=inspection_véhicule
amenity,vehicle_ramp,aménagement=rampe_véhicule
amenity,vending_machine,commodité=distributeur automatique
amenity,veterinary,commodité=vétérinaire
amenity,veterinary_pharmacy,commodité=pharmacie_vétérinaire
amenity,vivarium,commodité=vivarium
amenity,washing_machine,commodité=machine_à_laver
amenity,waste_basket,commodité=panier à déchets
amenity,waste_disposal,commodité=élimination des déchets
amenity,waste_dump_site,aménagement=site_de_décharge
amenity,waste_transfer_station,commodité=station_de_transfert_des_déchets
amenity,water,commodité = eau
amenity,water_point,commodité=point_d'eau
amenity,watering_place,aménité=point d'eau
amenity,weighbridge,équipement = pont-bascule
amenity,whirlpool,équipement = bain à remous
amenity,winery,commodité = vignoble
amenity,workshop,commodité = atelier
amenity,yacht_club,agrément=club_yacht
amenity,youth_centre,équipement=centre_de_jeunesse
aminety,sceptic_tank,aminety=réservoir_sceptique
animal,horse_walker,animal=chevalier
animal,school,animal=école
animal_breeding,gamecock,élevage animal = coq de combat
animal_hitch,ring,animal_hitch=anneau
animated,no,animé=non
animated,trivision_blades,animé=trivision_blades
animated,winding_posters,affiches animées=tourbillonnantes
aquaculture,shrimp,aquaculture = crevettes
archaeological_site,baths,site_archéologique=bains
archaeological_site,city,site archéologique=ville
archaeological_site,crannog,site archéologique=crannog
archaeological_site,desert_kite,site_archéologique=cerf_volant_du_désert
archaeological_site,enclosure,site_archéologique=enclos
archaeological_site,field_system,site archéologique = système de champs
archaeological_site,fortification,site archéologique=fortification
archaeological_site,grave_field,site archéologique = champ de tombes
archaeological_site,hut_circle,site_archéologique=cercle_de_cabanes
archaeological_site,megalith,site archéologique=mégalithe
archaeological_site,minilith,site_archéologique=minilith
archaeological_site,necropolis,site archéologique=nécropole
archaeological_site,petroglyph,site archéologique = pétroglyphe
archaeological_site,roman_circus,site_archéologique=cirque_romain
archaeological_site,roman_villa,site_archéologique=villa_romaine
archaeological_site,settlement,site archéologique=établissement
archaeological_site,tumulus,site_archéologique=tumulus
area,no,zone=non
area:highway,cycleway,zone:autoroute=piste cyclable
area:highway,emergency,zone:autoroute=urgence
area:highway,footway,zone:autoroute=piéton
area:highway,path,zone:autoroute=chemin
area:highway,pedestrian,zone:autoroute=piéton
area:highway,primary,zone:autoroute=primaire
area:highway,residential,zone : autoroute = résidentielle
area:highway,secondary,zone:autoroute=secondaire
area:highway,service,zone:autoroute=service
area:highway,steps,zone:autoroute=escaliers
area:highway,tertiary,zone:autoroute=tertiaire
area:highway,traffic_island,zone:autoroute=îlot_de_circulation
area:highway,trunk,zone:autoroute=tronçon
area:highway,trunk_link,zone:autoroute=lien_tronc
area:highway,turning_circle,zone:autoroute=rond-point
armrest,no,accoudoir = non
artwork_subject,sheela-na-gig,sujet_œuvre_d'art=sheela-na-gig
artwork_type,architecture,type_œuvre_d'art=architecture
artwork_type,bust,type_œuvre_d'art=buste
artwork_type,installation,type_œuvre_d'art=installation
artwork_type,mural,type_œuvre_d'art=fresque
artwork_type,painting,type_œuvre_d'art=peinture
artwork_type,relief,type_œuvre_d'art=relief
artwork_type,sculpture,type_œuvre_d'art=sculpture
artwork_type,statue,type_œuvre_d'art=statue
artwork_type,stone,type_œuvre_d'art=pierre
at_bev:addr_date,2016-10-02,at_bev:addr_date=2016-10-02
at_bev:addr_date,*,at_bev:addr_date=*
athletics,cross_country,athlétisme=cross-country
athletics,discus_throw,athlétisme = lancer de disque
athletics,hammer_throw,athlétisme = lancer de marteau
athletics,high_jump,athlétisme=saut_en_haut
athletics,javelin_throw,athlétisme = lancer de javelot
athletics,long_jump,athlétisme=saut_en_longueur
athletics,pole_vault,athlétisme = saut à la perche
athletics,running,athlétisme = course à pied
athletics,shot_put,athlétisme = lancer du poids
athletics,sprint,athlétisme = sprint
athletics,steeplechase,athlétisme = steeple
athletics,triple_jump,athlétisme=triple_saut
atm,no,distributeur automatique de billets = non
attraction,alpine_coaster,attraction=montagnes russes alpines
