key,value,tag,definition_en,definition_ca,definition_es,count_all,count_all_fraction,count_nodes,count_nodes_fraction,count_ways,count_ways_fraction,count_relations,count_relations_fraction,in_wiki,projects,key_ca,value_ca,key_es,value_es,number
abutters,retail,,,confina amb	=	venda minorista,colinda con	=	venta minorista,,,,,,,,,,,confina amb,venda minorista,colinda con,venta minorista,13434
access,agricultural,access=agricultural,,,,113525,0.0,3014,0.0,110473,0.0001,38,0.0,Yes,11,,,,,1793
access,agricultural,,,accés	=	agrícola,acceso	=	agrícola,,,,,,,,,,,accés,agrícola,acceso,agrícola,13441
access,bdouble,,,accés	=	bdoble,acceso	=	bdoble,,,,,,,,,,,accés,bdoble,acceso,bdoble,13447
access,customers,access=customers,,,,1832032,0.0002,221409,0.0008,1597796,0.0014,12827,0.0009,Yes,42,,,,,196
access,customers,,,accés	=	clients,acceso	=	clientes,,,,,,,,,,,accés,clients,acceso,clientes,13437
access,delivery,access=delivery,,,,24874,0.0,6640,0.0,18210,0.0,24,0.0,Yes,10,,,,,5760
access,delivery,,,accés	=	entrega,acceso	=	entrega,,,,,,,,,,,accés,entrega,acceso,entrega,13446
access,designated,access=designated,,,,20859,0.0,647,0.0,19958,0.0,254,0.0,Yes,7,,,,,6689
access,designated,,,accés	=	designat,acceso	=	designado,,,,,,,,,,,accés,designat,acceso,designado,13444
access,destination,access=destination,,,,484557,0.0,33761,0.0001,450315,0.0004,481,0.0,Yes,14,,,,,563
access,destination,,,accés	=	destinació,acceso	=	destino,,,,,,,,,,,accés,destinació,acceso,destino,13440
access,discouraged,,,accés	=	desanimat,acceso	=	desanimado,,,,,,,,,,,accés,desanimat,acceso,desanimado,13448
access,dismount,,,accés	=	desmuntar,acceso	=	desmontar,,,,,,,,,,,accés,desmuntar,acceso,desmontar,13449
access,employees,,,accés	=	empleats,acceso	=	empleados,,,,,,,,,,,accés,empleats,acceso,empleados,13450
access,exclusion_zone,,,accés	=	Zona d'exclusió,acceso	=	Zona de exclusión,,,,,,,,,,,accés,Zona d'exclusió,acceso,Zona de exclusión,13460
access,forestry,access=forestry,,,,104455,0.0,3283,0.0,101170,0.0001,2,0.0,Yes,11,,,,,1906
access,forestry,,,accés	=	silvicultura,acceso	=	silvicultura,,,,,,,,,,,accés,silvicultura,acceso,silvicultura,13442
access,licence,,,accés	=	llicència,acceso	=	licencia,,,,,,,,,,,accés,llicència,acceso,licencia,13452
access,license,,,accés	=	llicència,acceso	=	licencia,,,,,,,,,,,accés,llicència,acceso,licencia,13453
access,military,access=military,,,,13721,0.0,1032,0.0,12668,0.0,21,0.0,Yes,3,,,,,9845
access,no,access=no,,,,1057126,0.0001,231074,0.0008,823112,0.0007,2940,0.0002,Yes,49,,,,,327
access,no,,,accés	=	no,acceso	=	no,,,,,,,,,,,accés,no,acceso,no,13438
access,official,,,accés	=	oficial,acceso	=	oficial,,,,,,,,,,,accés,oficial,acceso,oficial,13454
access,permissive,access=permissive,,,,950126,0.0001,315583,0.0012,632455,0.0006,2088,0.0002,Yes,21,,,,,354
access,permissive,,,accés	=	permissiu,acceso	=	permisivo,,,,,,,,,,,accés,permissiu,acceso,permisivo,13439
access,permit,access=permit,,,,168492,0.0,36725,0.0001,130791,0.0001,976,0.0001,Yes,16,,,,,1314
access,permit,,,accés	=	permís,acceso	=	permiso,,,,,,,,,,,accés,permís,acceso,permiso,13443
access,private,access=private,,,,17108263,0.0015,1842318,0.0067,15242078,0.0134,23867,0.0017,Yes,41,,,,,20
access,private,,,accés	=	privat,acceso	=	privado,,,,,,,,,,,accés,privat,acceso,privado,13435
access,public,,,accés	=	públic,acceso	=	público,,,,,,,,,,,accés,públic,acceso,público,13455
access,residents,,,accés	=	residents,acceso	=	residentes,,,,,,,,,,,accés,residents,acceso,residentes,13456
access,restricted,,,accés	=	restringit,acceso	=	restringido,,,,,,,,,,,accés,restringit,acceso,restringido,13457
access,students,,,accés	=	estudiants,acceso	=	estudiantes,,,,,,,,,,,accés,estudiants,acceso,estudiantes,13451
access,unknown,access=unknown,,,,41306,0.0,3727,0.0,37097,0.0,482,0.0,Yes,1,,,,,3811
access,unknown,,,accés	=	desconegut,acceso	=	desconocido,,,,,,,,,,,accés,desconegut,acceso,desconocido,13445
access,use_sidepath,,,accés	=	utilitzar camí lateral,acceso	=	usar camino lateral,,,,,,,,,,,accés,utilitzar camí lateral,acceso,usar camino lateral,13458
access,variable,,,accés	=	variable,acceso	=	variable,,,,,,,,,,,accés,variable,acceso,variable,13459
access,yes,access=yes,,,,2529690,0.0002,776626,0.0028,1734711,0.0015,18353,0.0013,Yes,48,,,,,136
access,yes,,,accés	=	sí,acceso	=	sí,,,,,,,,,,,accés,sí,acceso,sí,13436
access_control,full,access_control=full,,,,10740,0.0,14,0.0,10724,0.0,2,0.0,Yes,0,,,,,12525
access_control,partial,access_control=partial,,,,10737,0.0,0,0.0,10737,0.0,0,0.0,Yes,1,,,,,12529
access:citizenship,двухбуквенный_код_страны_по_ISO-3166-1,,,accés:ciutadania	=	двухбуквенный код страны ISO-3166-1,acceso:ciudadanía	=	двухбуквенный код страны по ISO-3166-1,,,,,,,,,,,accés:ciutadania,двухбуквенный код страны ISO-3166-1,acceso:ciudadanía,двухбуквенный код страны по ISO-3166-1,13461
access:delivery,no,access:delivery=no,,,,51870,0.0,50551,0.0002,1319,0.0,0,0.0,No,0,,,,,3213
access:delivery,no,,,accés:lliurament	=	no,acceso:entrega	=	no,,,,,,,,,,,accés:lliurament,no,acceso:entrega,no,13462
access:roof,no,access:roof=no,,,,38415,0.0,318,0.0,37891,0.0,206,0.0,No,1,,,,,4054
access:roof,no,,,accés: sostre	=	no,acceso: techo	=	no,,,,,,,,,,,accés: sostre,no,acceso: techo,no,13463
accuracy,10,accuracy=10,,,,41064,0.0,124,0.0,40940,0.0,0,0.0,No,0,,,,,3831
accuracy,10,,,nivell_administrador	=	*,precisión	=	*,,,,,,,,,,,nivell_administrador,*,precisión,*,13464
accuracy:meters,10,accuracy:meters=10,,,,26333,0.0,0,0.0,26261,0.0,72,0.0,No,0,,,,,5497
accuracy:meters,10,,,precisió	=	*,precisión: metros	=	*,,,,,,,,,,,precisió,*,precisión: metros,*,13466
accuracy:meters,21,accuracy:meters=21,,,,43681,0.0,0,0.0,42369,0.0,1312,0.0001,No,0,,,,,3679
accuracy:meters,21,,,edifici:ruian:tipus	=	*,precisión: metros	=	*,,,,,,,,,,,edifici:ruian:tipus,*,precisión: metros,*,13465
accuracy:meters,22,accuracy:meters=22,,,,18383,0.0,0,0.0,17854,0.0,529,0.0,No,0,,,,,7529
accuracy:meters,22,,,precisió: metres	=	*,precisión: metros	=	*,,,,,,,,,,,precisió: metres,*,precisión: metros,*,13468
accuracy:meters,25,,,precisió: metres	=	*,precisión: metros	=	*,,,,,,,,,,,precisió: metres,*,precisión: metros,*,13469
accuracy:meters,26,accuracy:meters=26,,,,20891,0.0,0,0.0,20337,0.0,554,0.0,No,0,,,,,6678
accuracy:meters,26,,,precisió: metres	=	*,precisión: metros	=	*,,,,,,,,,,,precisió: metres,*,precisión: metros,*,13467
actuator,electric_motor,,,solenoide	=	motor elèctric,solenoide	=	motor eléctrico,,,,,,,,,,,solenoide,motor elèctric,solenoide,motor eléctrico,13473
actuator,hydraulic_cylinder,,,solenoide	=	Cilindre hidràulic,solenoide	=	Cilindro hidráulico,,,,,,,,,,,solenoide,Cilindre hidràulic,solenoide,Cilindro hidráulico,13470
actuator,manual,,,solenoide	=	manual,solenoide	=	manual,,,,,,,,,,,solenoide,manual,solenoide,manual,13472
actuator,pneumatic_cylinder,,,solenoide	=	cilindre pneumàtic,solenoide	=	cilindro neumático,,,,,,,,,,,solenoide,cilindre pneumàtic,solenoide,cilindro neumático,13471
addr:block,*,addr:block=*,,,,23666,0.0,100,0.0,23561,0.0,5,0.0,No,0,,,,,6003
addr:block,*,,,espècies	=	*,dirección: bloque	=	*,,,,,,,,,,,espècies,*,dirección: bloque,*,13474
addr:block_number,1,addr:block_number=1,,,,18797,0.0,5888,0.0,12770,0.0,139,0.0,No,0,,,,,7374
addr:block_number,1,,,sostre:nivells	=	*,dirección:número_de_bloque	=	*,,,,,,,,,,,sostre:nivells,*,dirección:número_de_bloque,*,13475
addr:block_number,2,addr:block_number=2,,,,12973,0.0,3483,0.0,9416,0.0,74,0.0,No,0,,,,,10403
addr:block_number,3,addr:block_number=3,,,,10894,0.0,2757,0.0,8077,0.0,60,0.0,No,0,,,,,12355
addr:block:en,Block 1,addr:block:en=Block 1,,,,25255,0.0,2226,0.0,23025,0.0,4,0.0,No,0,,,,,5689
addr:block:en,Block␣1,,,adreça: bloc:	=	Bloc␣1,dirección:bloque:es	=	Bloque␣1,,,,,,,,,,,adreça: bloc:,Bloc␣1,dirección:bloque:es,Bloque␣1,13476
addr:city,'s-Gravenhage,addr:city='s-Gravenhage,,,,310490,0.0,309634,0.0011,838,0.0,18,0.0,No,0,,,,,798
addr:city,*,,,direcció: bloc	=	*,dirección:ciudad	=	*,,,,,,,,,,,direcció: bloc,*,dirección:ciudad,*,13483
addr:city:ar,الــوادي,addr:city:ar=الــوادي,,,,19459,0.0,0,0.0,19459,0.0,0,0.0,No,0,,,,,7133
addr:city:de,Bozen,addr:city:de=Bozen,,,,11585,0.0,11510,0.0,75,0.0,0,0.0,No,0,,,,,11604
addr:city:en,10th of Rammadan City,addr:city:en=10th of Rammadan City,,,,73305,0.0,71533,0.0003,1762,0.0,10,0.0,No,0,,,,,2499
addr:city:en,October␣Gardens␣City,,,direcció:ciutat:ca	=	Octubre␣Jardins␣Ciutat,dirección:ciudad:es	=	Octubre␣Jardines␣Ciudad,,,,,,,,,,,direcció:ciutat:ca,Octubre␣Jardins␣Ciutat,dirección:ciudad:es,Octubre␣Jardines␣Ciudad,13484
addr:city:it,Bolzano,addr:city:it=Bolzano,,,,11572,0.0,11502,0.0,70,0.0,0,0.0,No,0,,,,,11623
addr:city:it,Bolzano,,,direcció:ciutat:it	=	Bolzano,dirección:ciudad:it	=	Bolzano,,,,,,,,,,,direcció:ciutat:it,Bolzano,dirección:ciudad:it,Bolzano,13485
addr:city:simc,918123,addr:city:simc=0918123,,,,122845,0.0,7094,0.0,115239,0.0001,512,0.0,No,0,,,,,1686
addr:community,Nima,addr:community=Nima,,,,14149,0.0,4894,0.0,8728,0.0,527,0.0,No,0,,,,,9543
addr:community,Nima,,,direcció:comunitat	=	nima,dirección:comunidad	=	nima,,,,,,,,,,,direcció:comunitat,nima,dirección:comunidad,nima,13487
addr:conscriptionnumber,1,addr:conscriptionnumber=1,,,,15799,0.0,12422,0.0,3329,0.0,48,0.0,No,0,,,,,8618
addr:conscriptionnumber,9,,,comptador_de_passos	=	*,dirección: número de conscripción	=	*,,,,,,,,,,,comptador_de_passos,*,dirección: número de conscripción,*,13488
addr:contact,yes,addr:contact=yes,,,,10343,0.0,9044,0.0,1190,0.0,109,0.0,No,0,,,,,12966
addr:country,*,,,direcció:ciutat	=	*,dirección: país	=	*,,,,,,,,,,,direcció:ciutat,*,dirección: país,*,13489
addr:country,AE,addr:country=AE,,,,126251,0.0,126110,0.0005,138,0.0,3,0.0,No,1,,,,,1657
addr:county,Stafford County,addr:county=Stafford County,,,,15143,0.0,65,0.0,15076,0.0,2,0.0,No,0,,,,,8963
addr:county,Tuttlingen,,,adreça: comtat	=	Tuttlingen,dirección: condado	=	Tuttlingen,,,,,,,,,,,adreça: comtat,Tuttlingen,dirección: condado,Tuttlingen,13491
addr:county,Washington,addr:county=Washington,,,,40907,0.0,2,0.0,40875,0.0,30,0.0,No,0,,,,,3848
addr:county,Washoe,addr:county=Washoe,,,,164220,0.0,8390,0.0,155797,0.0001,33,0.0,No,0,,,,,1338
addr:district,*,,,direcció: país	=	*,dirección: distrito	=	*,,,,,,,,,,,direcció: país,*,dirección: distrito,*,13492
addr:district,26 de Octubre,addr:district=26 de Octubre,,,,21152,0.0,21152,0.0001,0,0.0,0,0.0,No,0,,,,,6611
addr:district,龜山區,addr:district=龜山區,,,,92372,0.0,92103,0.0003,258,0.0,11,0.0,No,0,,,,,2086
addr:district:en,Al Agouza,addr:district:en=Al Agouza,,,,16533,0.0,16049,0.0001,484,0.0,0,0.0,No,0,,,,,8232
addr:district:en,Western␣Al␣Omraneya,,,adreça:districte:ca	=	Occidental␣Al␣Omraneia,dirección:distrito:es	=	Occidental␣Al␣Omraneya,,,,,,,,,,,adreça:districte:ca,Occidental␣Al␣Omraneia,dirección:distrito:es,Occidental␣Al␣Omraneya,13494
addr:division,Kawempe,addr:division=Kawempe,,,,18859,0.0,10,0.0,18845,0.0,4,0.0,No,0,,,,,7359
addr:division,Kawempe,,,direcció:divisió	=	Kawempe,dirección:división	=	Kawempe,,,,,,,,,,,direcció:divisió,Kawempe,dirección:división,Kawempe,13495
addr:division,Rajshahi,addr:division=Rajshahi,,,,10371,0.0,0,0.0,10367,0.0,4,0.0,No,0,,,,,12936
addr:flats,1-2,addr:flats=1-2,,,,87213,0.0,57149,0.0002,30041,0.0,23,0.0,No,0,,,,,2183
addr:flats,1-2,,,adreça: pisos	=	*,dirección: pisos	=	*,,,,,,,,,,,adreça: pisos,*,dirección: pisos,*,13496
addr:flats,1-20,addr:flats=1-20,,,,13170,0.0,12991,0.0,179,0.0,0,0.0,No,0,,,,,10241
addr:flats,1-3,addr:flats=1-3,,,,20161,0.0,12341,0.0,7813,0.0,7,0.0,No,0,,,,,6895
addr:flats,1-4,addr:flats=1-4,,,,14480,0.0,9765,0.0,4705,0.0,10,0.0,No,0,,,,,9362
addr:flats,A;B,addr:flats=A;B,,,,10967,0.0,6048,0.0,4919,0.0,0,0.0,No,0,,,,,12262
addr:floor,0,addr:floor=0,,,,15853,0.0,14907,0.0001,848,0.0,98,0.0,No,0,,,,,8588
addr:floor,Floor␣1,,,adreça:pis	=	Pis␣1,dirección:piso	=	Piso␣1,,,,,,,,,,,adreça:pis,Pis␣1,dirección:piso,Piso␣1,13498
addr:floor,Floor␣2,,,adreça:pis	=	Pis␣2,dirección:piso	=	Piso␣2,,,,,,,,,,,adreça:pis,Pis␣2,dirección:piso,Piso␣2,13499
addr:hamlet,*,,,adreça:pis	=	*,dirección: aldea	=	*,,,,,,,,,,,adreça:pis,*,dirección: aldea,*,13500
addr:hamlet,三和里,addr:hamlet=三和里,,,,20174,0.0,20166,0.0001,8,0.0,0,0.0,No,0,,,,,6893
addr:housenumber,0,addr:housenumber=0,,,,10876,0.0,7802,0.0,3068,0.0,6,0.0,No,0,,,,,12384
addr:inclusion,actual,addr:inclusion=actual,,,,367902,0.0,4285,0.0,363602,0.0003,15,0.0,No,3,,,,,698
addr:inclusion,actual,,,direcció: inclusió	=	actual,dirección: inclusión	=	actual,,,,,,,,,,,direcció: inclusió,actual,dirección: inclusión,actual,13502
addr:inclusion,estimate,addr:inclusion=estimate,,,,218997,0.0,487,0.0,218509,0.0002,1,0.0,No,3,,,,,1052
addr:inclusion,estimate,,,direcció: inclusió	=	estimar,dirección: inclusión	=	estimar,,,,,,,,,,,direcció: inclusió,estimar,dirección: inclusión,estimar,13503
addr:inclusion,potential,addr:inclusion=potential,,,,26727,0.0,10256,0.0,16470,0.0,1,0.0,No,3,,,,,5437
addr:inclusion,potential,,,direcció: inclusió	=	potencial,dirección: inclusión	=	potencial,,,,,,,,,,,direcció: inclusió,potencial,dirección: inclusión,potencial,13504
addr:interpolation,all,addr:interpolation=all,,,,25639,0.0,1504,0.0,24124,0.0,11,0.0,No,7,,,,,5614
addr:interpolation,all,,,direcció:interpolació	=	tots,dirección:interpolación	=	todos,,,,,,,,,,,direcció:interpolació,tots,dirección:interpolación,todos,13507
addr:interpolation,even,addr:interpolation=even,,,,1273726,0.0001,3195,0.0,1270519,0.0011,12,0.0,No,7,,,,,276
addr:interpolation,even,,,direcció:interpolació	=	fins i tot,dirección:interpolación	=	incluso,,,,,,,,,,,direcció:interpolació,fins i tot,dirección:interpolación,incluso,13506
addr:interpolation,odd,addr:interpolation=odd,,,,1275100,0.0001,2598,0.0,1272491,0.0011,11,0.0,No,7,,,,,275
addr:interpolation,odd,,,direcció:interpolació	=	estrany,dirección:interpolación	=	extraño,,,,,,,,,,,direcció:interpolació,estrany,dirección:interpolación,extraño,13505
addr:municipality,Aabenraa,addr:municipality=Aabenraa,,,,30211,0.0,30211,0.0001,0,0.0,0,0.0,No,0,,,,,4938
addr:municipality,Vordingborg,,,direcció: municipi	=	Vordingborg,dirección: municipio	=	Vordingborg,,,,,,,,,,,direcció: municipi,Vordingborg,dirección: municipio,Vordingborg,13510
addr:neighbourhood,1,addr:neighbourhood=1,,,,362191,0.0,359210,0.0013,2919,0.0,62,0.0,No,0,,,,,706
addr:neighbourhood,*,,,adreça: número de casa	=	*,dirección: barrio	=	*,,,,,,,,,,,adreça: número de casa,*,dirección: barrio,*,13512
addr:nostreet,yes,addr:nostreet=yes,,,,70976,0.0,15269,0.0001,55699,0.0,8,0.0,No,0,,,,,2560
addr:nostreet,yes,,,direcció: sense carrer	=	sí,dirección: sin calle	=	sí,,,,,,,,,,,direcció: sense carrer,sí,dirección: sin calle,sí,13513
addr:place,*,,,direcció: barri	=	*,dirección:lugar	=	*,,,,,,,,,,,direcció: barri,*,dirección:lugar,*,13514
addr:place,المجاورة 1,addr:place=المجاورة 1,,,,15892,0.0,15886,0.0001,6,0.0,0,0.0,No,0,,,,,8571
addr:place:en,Area A,addr:place:en=Area A,,,,10252,0.0,10252,0.0,0,0.0,0,0.0,No,0,,,,,13082
addr:postcode,100,addr:postcode=100,,,,75873,0.0,75541,0.0003,318,0.0,14,0.0,No,0,,,,,2425
addr:postcode,*,,,adreça:lloc	=	*,dirección: código postal	=	*,,,,,,,,,,,adreça:lloc,*,dirección: código postal,*,13515
addr:postcode,05-092,addr:postcode=05-092,,,,10764,0.0,739,0.0,10022,0.0,3,0.0,No,0,,,,,12505
addr:postcode:source,*,,,adreça: codi postal	=	*,dirección: código postal: fuente	=	*,,,,,,,,,,,adreça: codi postal,*,dirección: código postal: fuente,*,13516
addr:postcode:source,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana","addr:postcode:source=Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,94111,0.0,73862,0.0003,20205,0.0,44,0.0,No,0,,,,,2053
addr:province,*,,,adreça: codi postal: font	=	*,dirección: provincia	=	*,,,,,,,,,,,adreça: codi postal: font,*,dirección: provincia,*,13517
addr:province,AB,addr:province=AB,,,,55137,0.0,13979,0.0001,41117,0.0,41,0.0,No,0,,,,,3077
addr:province:en,*,,,direcció: província	=	*,dirección:provincia:es	=	*,,,,,,,,,,,direcció: província,*,dirección:provincia:es,*,13518
addr:province:en,Al Beheira,addr:province:en=Al Beheira,,,,33732,0.0,33732,0.0001,0,0.0,0,0.0,No,0,,,,,4502
addr:region,*,,,adreça:província:ca	=	*,dirección: región	=	*,,,,,,,,,,,adreça:província:ca,*,dirección: región,*,13519
addr:region,Farg'ona Viloyati,addr:region=Farg'ona Viloyati,,,,28839,0.0,419,0.0,28418,0.0,2,0.0,No,0,,,,,5105
addr:source,Gatineau.ca/donneesouvertes 08Aug2015,addr:source=Gatineau.ca/donneesouvertes 08Aug2015,,,,57120,0.0,6156,0.0,50961,0.0,3,0.0,No,0,,,,,3002
addr:source,NRW-Atlas,addr:source=NRW-Atlas,,,,13660,0.0,404,0.0,13256,0.0,0,0.0,No,0,,,,,9895
addr:state,*,,,direcció: regió	=	*,dirección: estado	=	*,,,,,,,,,,,direcció: regió,*,dirección: estado,*,13520
addr:state,AK,addr:state=AK,,,,15293,0.0,8674,0.0,6367,0.0,252,0.0,No,1,,,,,8877
addr:street,*,,,direcció: estat	=	*,dirección: calle	=	*,,,,,,,,,,,direcció: estat,*,dirección: calle,*,13530
addr:street,1 Maja,addr:street=1 Maja,,,,21998,0.0,5710,0.0,16278,0.0,10,0.0,No,0,,,,,6393
addr:street,民生路,addr:street=民生路,,,,17960,0.0,17744,0.0001,212,0.0,4,0.0,No,0,,,,,7676
addr:street:en,Omar Ibn Al Khatab Street,addr:street:en=Omar Ibn Al Khatab Street,,,,13256,0.0,13243,0.0,13,0.0,0,0.0,No,0,,,,,10166
addr:street:en,Street 1,addr:street:en=Street 1,,,,10749,0.0,5710,0.0,5039,0.0,0,0.0,No,0,,,,,12519
addr:street:en,Street 2,addr:street:en=Street 2,,,,11010,0.0,5843,0.0,5167,0.0,0,0.0,No,0,,,,,12216
addr:street:en,Street 3,addr:street:en=Street 3,,,,10435,0.0,5376,0.0,5059,0.0,0,0.0,No,0,,,,,12863
addr:street:prefix,East,addr:street:prefix=East,,,,15070,0.0,57,0.0,14986,0.0,27,0.0,No,0,,,,,9008
addr:street:prefix,North,addr:street:prefix=North,,,,130124,0.0,91,0.0,129907,0.0001,126,0.0,No,0,,,,,1618
addr:street:prefix,South,addr:street:prefix=South,,,,195500,0.0,132,0.0,195297,0.0002,71,0.0,No,0,,,,,1162
addr:street:prefix,West,addr:street:prefix=West,,,,138641,0.0,173,0.0,138350,0.0001,118,0.0,No,0,,,,,1541
addr:street:sym_ul,3839,addr:street:sym_ul=03839,,,,17489,0.0,5691,0.0,11795,0.0,3,0.0,No,0,,,,,7863
addr:street:sym_ul,5635,addr:street:sym_ul=05635,,,,14625,0.0,6485,0.0,8138,0.0,2,0.0,No,0,,,,,9277
addr:street:sym_ul,8828,addr:street:sym_ul=08828,,,,10651,0.0,3362,0.0,7287,0.0,2,0.0,No,0,,,,,12629
addr:street:sym_ul,9546,addr:street:sym_ul=09546,,,,10761,0.0,3279,0.0,7481,0.0,1,0.0,No,0,,,,,12509
addr:street:sym_ul,10898,addr:street:sym_ul=10898,,,,21106,0.0,8122,0.0,12984,0.0,0,0.0,No,0,,,,,6625
addr:street:sym_ul,11139,addr:street:sym_ul=11139,,,,11323,0.0,3800,0.0,7522,0.0,1,0.0,No,0,,,,,11884
addr:street:sym_ul,14834,addr:street:sym_ul=14834,,,,15900,0.0,4945,0.0,10954,0.0,1,0.0,No,0,,,,,8567
addr:street:sym_ul,17011,addr:street:sym_ul=17011,,,,18685,0.0,5901,0.0,12783,0.0,1,0.0,No,0,,,,,7413
addr:street:sym_ul,20254,addr:street:sym_ul=20254,,,,18630,0.0,6523,0.0,12107,0.0,0,0.0,No,0,,,,,7435
addr:street:sym_ul,21970,addr:street:sym_ul=21970,,,,17616,0.0,6455,0.0,11158,0.0,3,0.0,No,0,,,,,7813
addr:street:sym_ul,21970,,,voltatge: primari	=	*,dirección:calle:sym_ul	=	*,,,,,,,,,,,voltatge: primari,*,dirección:calle:sym_ul,*,13531
addr:street:type,Avenue,addr:street:type=Avenue,,,,310639,0.0,5790,0.0,304679,0.0003,170,0.0,No,0,,,,,797
addr:street:type,Avenue,,,adreça:carrer:tipus	=	Avinguda,dirección:calle:tipo	=	Avenida,,,,,,,,,,,adreça:carrer:tipus,Avinguda,dirección:calle:tipo,Avenida,13532
addr:street:type,Place,addr:street:type=Place,,,,24524,0.0,488,0.0,24023,0.0,13,0.0,No,0,,,,,5835
addr:street:type,Street,addr:street:type=Street,,,,133980,0.0,5017,0.0,128846,0.0001,117,0.0,No,0,,,,,1588
addr:streetnumber,1,addr:streetnumber=1,,,,41551,0.0,20735,0.0001,20724,0.0,92,0.0,No,0,,,,,3789
addr:streetnumber,9,,,adreça: número de conscripció	=	*,dirección:número de calle	=	*,,,,,,,,,,,adreça: número de conscripció,*,dirección:número de calle,*,13533
addr:streetnumber,10,addr:streetnumber=10,,,,33494,0.0,16757,0.0001,16708,0.0,29,0.0,No,0,,,,,4528
